Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
Q60954	P40425	-	PBX2	Hoxa9-PBX2-Meis1 complex	662
Q9HD42	Q7LBR1	CHMP1A	CHMP1B	ESCRT-III complex	1186
Q9HD42	O43633	CHMP1A	CHMP2A	ESCRT-III complex	1186
Q9HD42	Q9UQN3	CHMP1A	CHMP2B	ESCRT-III complex	1186
Q9HD42	Q9BY43	CHMP1A	CHMP4A	ESCRT-III complex	1186
Q9HD42	Q9H444	CHMP1A	CHMP4B	ESCRT-III complex	1186
Q9HD42	Q96CF2	CHMP1A	CHMP4C	ESCRT-III complex	1186
Q9HD42	Q9NZZ3	CHMP1A	CHMP5	ESCRT-III complex	1186
Q9HD42	Q96FZ7	CHMP1A	CHMP6	ESCRT-III complex	1186
Q9HD42	Q9Y3E7	CHMP1A	CHMP3	ESCRT-III complex	1186
Q7LBR1	O43633	CHMP1B	CHMP2A	ESCRT-III complex	1186
Q7LBR1	Q9UQN3	CHMP1B	CHMP2B	ESCRT-III complex	1186
Q7LBR1	Q9BY43	CHMP1B	CHMP4A	ESCRT-III complex	1186
Q7LBR1	Q9H444	CHMP1B	CHMP4B	ESCRT-III complex	1186
Q7LBR1	Q96CF2	CHMP1B	CHMP4C	ESCRT-III complex	1186
Q7LBR1	Q9NZZ3	CHMP1B	CHMP5	ESCRT-III complex	1186
Q7LBR1	Q96FZ7	CHMP1B	CHMP6	ESCRT-III complex	1186
Q7LBR1	Q9Y3E7	CHMP1B	CHMP3	ESCRT-III complex	1186
O43633	Q9UQN3	CHMP2A	CHMP2B	ESCRT-III complex	1186
O43633	Q9BY43	CHMP2A	CHMP4A	ESCRT-III complex	1186
O43633	Q9H444	CHMP2A	CHMP4B	ESCRT-III complex	1186
O43633	Q96CF2	CHMP2A	CHMP4C	ESCRT-III complex	1186
O43633	Q9NZZ3	CHMP2A	CHMP5	ESCRT-III complex	1186
O43633	Q96FZ7	CHMP2A	CHMP6	ESCRT-III complex	1186
O43633	Q9Y3E7	CHMP2A	CHMP3	ESCRT-III complex	1186
Q9UQN3	Q9BY43	CHMP2B	CHMP4A	ESCRT-III complex	1186
Q9UQN3	Q9H444	CHMP2B	CHMP4B	ESCRT-III complex	1186
Q9UQN3	Q96CF2	CHMP2B	CHMP4C	ESCRT-III complex	1186
Q9UQN3	Q9NZZ3	CHMP2B	CHMP5	ESCRT-III complex	1186
Q9UQN3	Q96FZ7	CHMP2B	CHMP6	ESCRT-III complex	1186
Q9UQN3	Q9Y3E7	CHMP2B	CHMP3	ESCRT-III complex	1186
Q9BY43	Q9H444	CHMP4A	CHMP4B	ESCRT-III complex	1186
Q9BY43	Q96CF2	CHMP4A	CHMP4C	ESCRT-III complex	1186
Q9BY43	Q9NZZ3	CHMP4A	CHMP5	ESCRT-III complex	1186
Q9BY43	Q96FZ7	CHMP4A	CHMP6	ESCRT-III complex	1186
Q9BY43	Q9Y3E7	CHMP4A	CHMP3	ESCRT-III complex	1186
Q9H444	Q96CF2	CHMP4B	CHMP4C	ESCRT-III complex	1186
Q9H444	Q9NZZ3	CHMP4B	CHMP5	ESCRT-III complex	1186
Q9H444	Q96FZ7	CHMP4B	CHMP6	ESCRT-III complex	1186
Q9H444	Q9Y3E7	CHMP4B	CHMP3	ESCRT-III complex	1186
Q96CF2	Q9NZZ3	CHMP4C	CHMP5	ESCRT-III complex	1186
Q96CF2	Q96FZ7	CHMP4C	CHMP6	ESCRT-III complex	1186
Q96CF2	Q9Y3E7	CHMP4C	CHMP3	ESCRT-III complex	1186
Q9NZZ3	Q96FZ7	CHMP5	CHMP6	ESCRT-III complex	1186
Q9NZZ3	Q9Y3E7	CHMP5	CHMP3	ESCRT-III complex	1186
Q96FZ7	Q9Y3E7	CHMP6	CHMP3	ESCRT-III complex	1186
O96019	O14497	ACTL6A	ARID1A	WINAC complex	1230
O96019	Q9UIG0	ACTL6A	BAZ1B	WINAC complex	1230
O96019	Q13111	ACTL6A	CHAF1A	WINAC complex	1230
O96019	P51531	ACTL6A	SMARCA2	WINAC complex	1230
O96019	P51532	ACTL6A	SMARCA4	WINAC complex	1230
O96019	Q12824	ACTL6A	SMARCB1	WINAC complex	1230
O96019	Q92922	ACTL6A	SMARCC1	WINAC complex	1230
O96019	Q8TAQ2	ACTL6A	SMARCC2	WINAC complex	1230
O96019	Q96GM5	ACTL6A	SMARCD1	WINAC complex	1230
O96019	Q969G3	ACTL6A	SMARCE1	WINAC complex	1230
O96019	Q9Y5B9	ACTL6A	SUPT16H	WINAC complex	1230
O96019	Q02880	ACTL6A	TOP2B	WINAC complex	1230
O96019	P11473	ACTL6A	VDR	WINAC complex	1230
O14497	Q9UIG0	ARID1A	BAZ1B	WINAC complex	1230
O14497	Q13111	ARID1A	CHAF1A	WINAC complex	1230
O14497	P51531	ARID1A	SMARCA2	WINAC complex	1230
O14497	P51532	ARID1A	SMARCA4	WINAC complex	1230
O14497	Q12824	ARID1A	SMARCB1	WINAC complex	1230
O14497	Q92922	ARID1A	SMARCC1	WINAC complex	1230
O14497	Q8TAQ2	ARID1A	SMARCC2	WINAC complex	1230
O14497	Q96GM5	ARID1A	SMARCD1	WINAC complex	1230
O14497	Q969G3	ARID1A	SMARCE1	WINAC complex	1230
O14497	Q9Y5B9	ARID1A	SUPT16H	WINAC complex	1230
O14497	Q02880	ARID1A	TOP2B	WINAC complex	1230
O14497	P11473	ARID1A	VDR	WINAC complex	1230
Q9UIG0	Q13111	BAZ1B	CHAF1A	WINAC complex	1230
Q9UIG0	P51531	BAZ1B	SMARCA2	WINAC complex	1230
Q9UIG0	P51532	BAZ1B	SMARCA4	WINAC complex	1230
Q9UIG0	Q12824	BAZ1B	SMARCB1	WINAC complex	1230
Q9UIG0	Q92922	BAZ1B	SMARCC1	WINAC complex	1230
Q9UIG0	Q8TAQ2	BAZ1B	SMARCC2	WINAC complex	1230
Q9UIG0	Q96GM5	BAZ1B	SMARCD1	WINAC complex	1230
Q9UIG0	Q969G3	BAZ1B	SMARCE1	WINAC complex	1230
Q9UIG0	Q9Y5B9	BAZ1B	SUPT16H	WINAC complex	1230
Q9UIG0	Q02880	BAZ1B	TOP2B	WINAC complex	1230
Q9UIG0	P11473	BAZ1B	VDR	WINAC complex	1230
Q13111	P51531	CHAF1A	SMARCA2	WINAC complex	1230
Q13111	P51532	CHAF1A	SMARCA4	WINAC complex	1230
Q13111	Q12824	CHAF1A	SMARCB1	WINAC complex	1230
Q13111	Q92922	CHAF1A	SMARCC1	WINAC complex	1230
Q13111	Q8TAQ2	CHAF1A	SMARCC2	WINAC complex	1230
Q13111	Q96GM5	CHAF1A	SMARCD1	WINAC complex	1230
Q13111	Q969G3	CHAF1A	SMARCE1	WINAC complex	1230
Q13111	Q9Y5B9	CHAF1A	SUPT16H	WINAC complex	1230
Q13111	Q02880	CHAF1A	TOP2B	WINAC complex	1230
Q13111	P11473	CHAF1A	VDR	WINAC complex	1230
P51531	P51532	SMARCA2	SMARCA4	WINAC complex	1230
P51531	Q12824	SMARCA2	SMARCB1	WINAC complex	1230
P51531	Q92922	SMARCA2	SMARCC1	WINAC complex	1230
P51531	Q8TAQ2	SMARCA2	SMARCC2	WINAC complex	1230
P51531	Q96GM5	SMARCA2	SMARCD1	WINAC complex	1230
P51531	Q969G3	SMARCA2	SMARCE1	WINAC complex	1230
P51531	Q9Y5B9	SMARCA2	SUPT16H	WINAC complex	1230
P51531	Q02880	SMARCA2	TOP2B	WINAC complex	1230
P51531	P11473	SMARCA2	VDR	WINAC complex	1230
P51532	Q12824	SMARCA4	SMARCB1	WINAC complex	1230
P51532	Q92922	SMARCA4	SMARCC1	WINAC complex	1230
P51532	Q8TAQ2	SMARCA4	SMARCC2	WINAC complex	1230
P51532	Q96GM5	SMARCA4	SMARCD1	WINAC complex	1230
P51532	Q969G3	SMARCA4	SMARCE1	WINAC complex	1230
P51532	Q9Y5B9	SMARCA4	SUPT16H	WINAC complex	1230
P51532	Q02880	SMARCA4	TOP2B	WINAC complex	1230
P51532	P11473	SMARCA4	VDR	WINAC complex	1230
Q12824	Q92922	SMARCB1	SMARCC1	WINAC complex	1230
Q12824	Q8TAQ2	SMARCB1	SMARCC2	WINAC complex	1230
Q12824	Q96GM5	SMARCB1	SMARCD1	WINAC complex	1230
Q12824	Q969G3	SMARCB1	SMARCE1	WINAC complex	1230
Q12824	Q9Y5B9	SMARCB1	SUPT16H	WINAC complex	1230
Q12824	Q02880	SMARCB1	TOP2B	WINAC complex	1230
Q12824	P11473	SMARCB1	VDR	WINAC complex	1230
Q92922	Q8TAQ2	SMARCC1	SMARCC2	WINAC complex	1230
Q92922	Q96GM5	SMARCC1	SMARCD1	WINAC complex	1230
Q92922	Q969G3	SMARCC1	SMARCE1	WINAC complex	1230
Q92922	Q9Y5B9	SMARCC1	SUPT16H	WINAC complex	1230
Q92922	Q02880	SMARCC1	TOP2B	WINAC complex	1230
Q92922	P11473	SMARCC1	VDR	WINAC complex	1230
Q8TAQ2	Q96GM5	SMARCC2	SMARCD1	WINAC complex	1230
Q8TAQ2	Q969G3	SMARCC2	SMARCE1	WINAC complex	1230
Q8TAQ2	Q9Y5B9	SMARCC2	SUPT16H	WINAC complex	1230
Q8TAQ2	Q02880	SMARCC2	TOP2B	WINAC complex	1230
Q8TAQ2	P11473	SMARCC2	VDR	WINAC complex	1230
Q96GM5	Q969G3	SMARCD1	SMARCE1	WINAC complex	1230
Q96GM5	Q9Y5B9	SMARCD1	SUPT16H	WINAC complex	1230
Q96GM5	Q02880	SMARCD1	TOP2B	WINAC complex	1230
Q96GM5	P11473	SMARCD1	VDR	WINAC complex	1230
Q969G3	Q9Y5B9	SMARCE1	SUPT16H	WINAC complex	1230
Q969G3	Q02880	SMARCE1	TOP2B	WINAC complex	1230
Q969G3	P11473	SMARCE1	VDR	WINAC complex	1230
Q9Y5B9	Q02880	SUPT16H	TOP2B	WINAC complex	1230
Q9Y5B9	P11473	SUPT16H	VDR	WINAC complex	1230
Q02880	P11473	TOP2B	VDR	WINAC complex	1230
Q9UBL3	Q9C005	ASH2L	DPY30	Menin-associated histone methyltransferase complex	1254
Q9UBL3	O00255	ASH2L	NA	Menin-associated histone methyltransferase complex	1254
Q9UBL3	P30876	ASH2L	POLR2B	Menin-associated histone methyltransferase complex	1254
Q9UBL3	Q15291	ASH2L	RBBP5	Menin-associated histone methyltransferase complex	1254
Q9UBL3	Q9UMN6	ASH2L	NA	Menin-associated histone methyltransferase complex	1254
Q9UBL3	P61964	ASH2L	WDR5	Menin-associated histone methyltransferase complex	1254
Q9C005	O00255	DPY30	NA	Menin-associated histone methyltransferase complex	1254
Q9C005	P30876	DPY30	POLR2B	Menin-associated histone methyltransferase complex	1254
Q9C005	Q15291	DPY30	RBBP5	Menin-associated histone methyltransferase complex	1254
Q9C005	Q9UMN6	DPY30	NA	Menin-associated histone methyltransferase complex	1254
Q9C005	P61964	DPY30	WDR5	Menin-associated histone methyltransferase complex	1254
O00255	P30876	NA	POLR2B	Menin-associated histone methyltransferase complex	1254
O00255	Q15291	NA	RBBP5	Menin-associated histone methyltransferase complex	1254
O00255	Q9UMN6	NA	NA	Menin-associated histone methyltransferase complex	1254
O00255	P61964	NA	WDR5	Menin-associated histone methyltransferase complex	1254
P30876	Q15291	POLR2B	RBBP5	Menin-associated histone methyltransferase complex	1254
P30876	Q9UMN6	POLR2B	NA	Menin-associated histone methyltransferase complex	1254
P30876	P61964	POLR2B	WDR5	Menin-associated histone methyltransferase complex	1254
Q15291	Q9UMN6	RBBP5	NA	Menin-associated histone methyltransferase complex	1254
Q15291	P61964	RBBP5	WDR5	Menin-associated histone methyltransferase complex	1254
Q9UMN6	P61964	NA	WDR5	Menin-associated histone methyltransferase complex	1254
Q9UBL3	P51610	ASH2L	HCFC1	MLL-HCF complex	1256
Q9UBL3	O00255	ASH2L	NA	MLL-HCF complex	1256
Q9UBL3	Q03164	ASH2L	KMT2A	MLL-HCF complex	1256
Q9UBL3	Q15291	ASH2L	RBBP5	MLL-HCF complex	1256
Q9UBL3	P05546	ASH2L	NA	MLL-HCF complex	1256
Q9UBL3	P61964	ASH2L	WDR5	MLL-HCF complex	1256
P51610	O00255	HCFC1	NA	MLL-HCF complex	1256
P51610	Q03164	HCFC1	KMT2A	MLL-HCF complex	1256
P51610	Q15291	HCFC1	RBBP5	MLL-HCF complex	1256
P51610	P05546	HCFC1	NA	MLL-HCF complex	1256
P51610	P61964	HCFC1	WDR5	MLL-HCF complex	1256
O00255	Q03164	NA	KMT2A	MLL-HCF complex	1256
O00255	Q15291	NA	RBBP5	MLL-HCF complex	1256
O00255	P05546	NA	NA	MLL-HCF complex	1256
O00255	P61964	NA	WDR5	MLL-HCF complex	1256
Q03164	Q15291	KMT2A	RBBP5	MLL-HCF complex	1256
Q03164	P05546	KMT2A	NA	MLL-HCF complex	1256
Q03164	P61964	KMT2A	WDR5	MLL-HCF complex	1256
Q15291	P05546	RBBP5	NA	MLL-HCF complex	1256
Q15291	P61964	RBBP5	WDR5	MLL-HCF complex	1256
P05546	P61964	NA	WDR5	MLL-HCF complex	1256
O60341	Q12873	KDM1A	CHD3	ALL-1 supercomplex	1257
O60341	Q9P2I0	KDM1A	CPSF2	ALL-1 supercomplex	1257
O60341	Q15029	KDM1A	EFTUD2	ALL-1 supercomplex	1257
O60341	Q13547	KDM1A	HDAC1	ALL-1 supercomplex	1257
O60341	Q92769	KDM1A	HDAC2	ALL-1 supercomplex	1257
O60341	O95983	KDM1A	MBD3	ALL-1 supercomplex	1257
O60341	Q03164	KDM1A	KMT2A	ALL-1 supercomplex	1257
O60341	O94776	KDM1A	MTA2	ALL-1 supercomplex	1257
O60341	P62826	KDM1A	RAN	ALL-1 supercomplex	1257
O60341	Q09028	KDM1A	RBBP4	ALL-1 supercomplex	1257
O60341	Q15291	KDM1A	RBBP5	ALL-1 supercomplex	1257
O60341	Q16576	KDM1A	RBBP7	ALL-1 supercomplex	1257
O60341	O00422	KDM1A	SAP18	ALL-1 supercomplex	1257
O60341	O75446	KDM1A	SAP30	ALL-1 supercomplex	1257
O60341	Q96ST3	KDM1A	SIN3A	ALL-1 supercomplex	1257
O60341	P51531	KDM1A	SMARCA2	ALL-1 supercomplex	1257
O60341	O60264	KDM1A	SMARCA5	ALL-1 supercomplex	1257
O60341	Q12824	KDM1A	SMARCB1	ALL-1 supercomplex	1257
O60341	Q92922	KDM1A	SMARCC1	ALL-1 supercomplex	1257
O60341	Q8TAQ2	KDM1A	SMARCC2	ALL-1 supercomplex	1257
O60341	Q92797	KDM1A	SYMPK	ALL-1 supercomplex	1257
O60341	P21675	KDM1A	TAF1	ALL-1 supercomplex	1257
O60341	Q16514	KDM1A	TAF12	ALL-1 supercomplex	1257
O60341	P49848	KDM1A	TAF6	ALL-1 supercomplex	1257
O60341	Q16594	KDM1A	TAF9	ALL-1 supercomplex	1257
O60341	P20226	KDM1A	TBP	ALL-1 supercomplex	1257
O60341	P61964	KDM1A	WDR5	ALL-1 supercomplex	1257
Q12873	Q9P2I0	CHD3	CPSF2	ALL-1 supercomplex	1257
Q12873	Q15029	CHD3	EFTUD2	ALL-1 supercomplex	1257
Q12873	Q13547	CHD3	HDAC1	ALL-1 supercomplex	1257
Q12873	Q92769	CHD3	HDAC2	ALL-1 supercomplex	1257
Q12873	O95983	CHD3	MBD3	ALL-1 supercomplex	1257
Q12873	Q03164	CHD3	KMT2A	ALL-1 supercomplex	1257
Q12873	O94776	CHD3	MTA2	ALL-1 supercomplex	1257
Q12873	P62826	CHD3	RAN	ALL-1 supercomplex	1257
Q12873	Q09028	CHD3	RBBP4	ALL-1 supercomplex	1257
Q12873	Q15291	CHD3	RBBP5	ALL-1 supercomplex	1257
Q12873	Q16576	CHD3	RBBP7	ALL-1 supercomplex	1257
Q12873	O00422	CHD3	SAP18	ALL-1 supercomplex	1257
Q12873	O75446	CHD3	SAP30	ALL-1 supercomplex	1257
Q12873	Q96ST3	CHD3	SIN3A	ALL-1 supercomplex	1257
Q12873	P51531	CHD3	SMARCA2	ALL-1 supercomplex	1257
Q12873	O60264	CHD3	SMARCA5	ALL-1 supercomplex	1257
Q12873	Q12824	CHD3	SMARCB1	ALL-1 supercomplex	1257
Q12873	Q92922	CHD3	SMARCC1	ALL-1 supercomplex	1257
Q12873	Q8TAQ2	CHD3	SMARCC2	ALL-1 supercomplex	1257
Q12873	Q92797	CHD3	SYMPK	ALL-1 supercomplex	1257
Q12873	P21675	CHD3	TAF1	ALL-1 supercomplex	1257
Q12873	Q16514	CHD3	TAF12	ALL-1 supercomplex	1257
Q12873	P49848	CHD3	TAF6	ALL-1 supercomplex	1257
Q12873	Q16594	CHD3	TAF9	ALL-1 supercomplex	1257
Q12873	P20226	CHD3	TBP	ALL-1 supercomplex	1257
Q12873	P61964	CHD3	WDR5	ALL-1 supercomplex	1257
Q9P2I0	Q15029	CPSF2	EFTUD2	ALL-1 supercomplex	1257
Q9P2I0	Q13547	CPSF2	HDAC1	ALL-1 supercomplex	1257
Q9P2I0	Q92769	CPSF2	HDAC2	ALL-1 supercomplex	1257
Q9P2I0	O95983	CPSF2	MBD3	ALL-1 supercomplex	1257
Q9P2I0	Q03164	CPSF2	KMT2A	ALL-1 supercomplex	1257
Q9P2I0	O94776	CPSF2	MTA2	ALL-1 supercomplex	1257
Q9P2I0	P62826	CPSF2	RAN	ALL-1 supercomplex	1257
Q9P2I0	Q09028	CPSF2	RBBP4	ALL-1 supercomplex	1257
Q9P2I0	Q15291	CPSF2	RBBP5	ALL-1 supercomplex	1257
Q9P2I0	Q16576	CPSF2	RBBP7	ALL-1 supercomplex	1257
Q9P2I0	O00422	CPSF2	SAP18	ALL-1 supercomplex	1257
Q9P2I0	O75446	CPSF2	SAP30	ALL-1 supercomplex	1257
Q9P2I0	Q96ST3	CPSF2	SIN3A	ALL-1 supercomplex	1257
Q9P2I0	P51531	CPSF2	SMARCA2	ALL-1 supercomplex	1257
Q9P2I0	O60264	CPSF2	SMARCA5	ALL-1 supercomplex	1257
Q9P2I0	Q12824	CPSF2	SMARCB1	ALL-1 supercomplex	1257
Q9P2I0	Q92922	CPSF2	SMARCC1	ALL-1 supercomplex	1257
Q9P2I0	Q8TAQ2	CPSF2	SMARCC2	ALL-1 supercomplex	1257
Q9P2I0	Q92797	CPSF2	SYMPK	ALL-1 supercomplex	1257
Q9P2I0	P21675	CPSF2	TAF1	ALL-1 supercomplex	1257
Q9P2I0	Q16514	CPSF2	TAF12	ALL-1 supercomplex	1257
Q9P2I0	P49848	CPSF2	TAF6	ALL-1 supercomplex	1257
Q9P2I0	Q16594	CPSF2	TAF9	ALL-1 supercomplex	1257
Q9P2I0	P20226	CPSF2	TBP	ALL-1 supercomplex	1257
Q9P2I0	P61964	CPSF2	WDR5	ALL-1 supercomplex	1257
Q15029	Q13547	EFTUD2	HDAC1	ALL-1 supercomplex	1257
Q15029	Q92769	EFTUD2	HDAC2	ALL-1 supercomplex	1257
Q15029	O95983	EFTUD2	MBD3	ALL-1 supercomplex	1257
Q15029	Q03164	EFTUD2	KMT2A	ALL-1 supercomplex	1257
Q15029	O94776	EFTUD2	MTA2	ALL-1 supercomplex	1257
Q15029	P62826	EFTUD2	RAN	ALL-1 supercomplex	1257
Q15029	Q09028	EFTUD2	RBBP4	ALL-1 supercomplex	1257
Q15029	Q15291	EFTUD2	RBBP5	ALL-1 supercomplex	1257
Q15029	Q16576	EFTUD2	RBBP7	ALL-1 supercomplex	1257
Q15029	O00422	EFTUD2	SAP18	ALL-1 supercomplex	1257
Q15029	O75446	EFTUD2	SAP30	ALL-1 supercomplex	1257
Q15029	Q96ST3	EFTUD2	SIN3A	ALL-1 supercomplex	1257
Q15029	P51531	EFTUD2	SMARCA2	ALL-1 supercomplex	1257
Q15029	O60264	EFTUD2	SMARCA5	ALL-1 supercomplex	1257
Q15029	Q12824	EFTUD2	SMARCB1	ALL-1 supercomplex	1257
Q15029	Q92922	EFTUD2	SMARCC1	ALL-1 supercomplex	1257
Q15029	Q8TAQ2	EFTUD2	SMARCC2	ALL-1 supercomplex	1257
Q15029	Q92797	EFTUD2	SYMPK	ALL-1 supercomplex	1257
Q15029	P21675	EFTUD2	TAF1	ALL-1 supercomplex	1257
Q15029	Q16514	EFTUD2	TAF12	ALL-1 supercomplex	1257
Q15029	P49848	EFTUD2	TAF6	ALL-1 supercomplex	1257
Q15029	Q16594	EFTUD2	TAF9	ALL-1 supercomplex	1257
Q15029	P20226	EFTUD2	TBP	ALL-1 supercomplex	1257
Q15029	P61964	EFTUD2	WDR5	ALL-1 supercomplex	1257
Q13547	Q92769	HDAC1	HDAC2	ALL-1 supercomplex	1257
Q13547	O95983	HDAC1	MBD3	ALL-1 supercomplex	1257
Q13547	Q03164	HDAC1	KMT2A	ALL-1 supercomplex	1257
Q13547	O94776	HDAC1	MTA2	ALL-1 supercomplex	1257
Q13547	P62826	HDAC1	RAN	ALL-1 supercomplex	1257
Q13547	Q09028	HDAC1	RBBP4	ALL-1 supercomplex	1257
Q13547	Q15291	HDAC1	RBBP5	ALL-1 supercomplex	1257
Q13547	Q16576	HDAC1	RBBP7	ALL-1 supercomplex	1257
Q13547	O00422	HDAC1	SAP18	ALL-1 supercomplex	1257
Q13547	O75446	HDAC1	SAP30	ALL-1 supercomplex	1257
Q13547	Q96ST3	HDAC1	SIN3A	ALL-1 supercomplex	1257
Q13547	P51531	HDAC1	SMARCA2	ALL-1 supercomplex	1257
Q13547	O60264	HDAC1	SMARCA5	ALL-1 supercomplex	1257
Q13547	Q12824	HDAC1	SMARCB1	ALL-1 supercomplex	1257
Q13547	Q92922	HDAC1	SMARCC1	ALL-1 supercomplex	1257
Q13547	Q8TAQ2	HDAC1	SMARCC2	ALL-1 supercomplex	1257
Q13547	Q92797	HDAC1	SYMPK	ALL-1 supercomplex	1257
Q13547	P21675	HDAC1	TAF1	ALL-1 supercomplex	1257
Q13547	Q16514	HDAC1	TAF12	ALL-1 supercomplex	1257
Q13547	P49848	HDAC1	TAF6	ALL-1 supercomplex	1257
Q13547	Q16594	HDAC1	TAF9	ALL-1 supercomplex	1257
Q13547	P20226	HDAC1	TBP	ALL-1 supercomplex	1257
Q13547	P61964	HDAC1	WDR5	ALL-1 supercomplex	1257
Q92769	O95983	HDAC2	MBD3	ALL-1 supercomplex	1257
Q92769	Q03164	HDAC2	KMT2A	ALL-1 supercomplex	1257
Q92769	O94776	HDAC2	MTA2	ALL-1 supercomplex	1257
Q92769	P62826	HDAC2	RAN	ALL-1 supercomplex	1257
Q92769	Q09028	HDAC2	RBBP4	ALL-1 supercomplex	1257
Q92769	Q15291	HDAC2	RBBP5	ALL-1 supercomplex	1257
Q92769	Q16576	HDAC2	RBBP7	ALL-1 supercomplex	1257
Q92769	O00422	HDAC2	SAP18	ALL-1 supercomplex	1257
Q92769	O75446	HDAC2	SAP30	ALL-1 supercomplex	1257
Q92769	Q96ST3	HDAC2	SIN3A	ALL-1 supercomplex	1257
Q92769	P51531	HDAC2	SMARCA2	ALL-1 supercomplex	1257
Q92769	O60264	HDAC2	SMARCA5	ALL-1 supercomplex	1257
Q92769	Q12824	HDAC2	SMARCB1	ALL-1 supercomplex	1257
Q92769	Q92922	HDAC2	SMARCC1	ALL-1 supercomplex	1257
Q92769	Q8TAQ2	HDAC2	SMARCC2	ALL-1 supercomplex	1257
Q92769	Q92797	HDAC2	SYMPK	ALL-1 supercomplex	1257
Q92769	P21675	HDAC2	TAF1	ALL-1 supercomplex	1257
Q92769	Q16514	HDAC2	TAF12	ALL-1 supercomplex	1257
Q92769	P49848	HDAC2	TAF6	ALL-1 supercomplex	1257
Q92769	Q16594	HDAC2	TAF9	ALL-1 supercomplex	1257
