Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
ACTR5	HSPA8	HSPA8	22	22	22.00	1	18|65|42|0|14|19|19|16|21	0.00	0.00	0.00	0.00	0.00	-50.54	0.93	0.37	
ACTR5	TUBB2B	TUBB2B	6	6	6.00	1	23|21|47|4|5|34|35|34|6	0.00	0.00	0.00	0.00	0.00	-80.01	0.26	0.37	
ACTR5	TUBB2C	TUBB2C	6	6	6.00	1	23|30|62|5|7|38|39|37|7	0.00	0.00	0.00	0.00	0.00	-98.31	0.22	0.37	
ACTR5	TUBB	TUBB	6	6	6.00	1	27|34|75|4|7|45|42|49|6	0.00	0.00	0.00	0.00	0.00	-117.65	0.19	0.37	
ACTR5	CCT6A	CCT6A	19	19	19.00	1	0|13|12|0|0|0|1|0|0	0.98	0.98	0.98	0.98	0.98	3.68	6.58	0.00	
ACTR5	HIST1H1C	HIST1H1C	6	6	6.00	1	3|1|0|2|9|0|43|3|4	0.00	0.00	0.00	0.00	0.00	-15.11	0.83	0.37	
ACTR5	HIST1H1E	HIST1H1E	6	6	6.00	1	3|1|0|2|9|0|41|3|4	0.00	0.00	0.00	0.00	0.00	-14.30	0.86	0.37	
ACTR5	DYNLL1	DYNLL1	2	2	2.00	1	2|3|1|0|3|0|0|0|1	0.32	0.32	0.32	0.32	0.32	-0.75	1.80	0.26	
ACTR5	ACTA1	ACTA1	11	11	11.00	1	20|9|12|4|12|9|5|5|2	0.00	0.00	0.00	0.00	0.00	-13.99	1.27	0.35	
ACTR5	MATR3	MATR3	13	13	13.00	1	35|49|1|0|24|1|0|0|5	0.00	0.00	0.00	0.00	0.00	-24.46	1.02	0.35	
ACTR5	MCRS1	MCRS1	7	7	7.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.77	70.00	0.00	
ACTR5	YY1	YY1	5	5	5.00	1	0|0|0|0|3|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.29	15.00	0.00	
ACTR5	NPM1	NPM1	12	12	12.00	1	2|1|0|1|6|0|1|1|4	0.99	0.99	0.99	0.99	0.99	4.93	6.75	0.00	
ACTR5	HIST1H2BJ	HIST1H2BJ	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	UCHL5	UCHL5	4	4	4.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.85	40.00	0.00	
ACTR5	H2AFZ	H2AFZ	2	2	2.00	1	1|3|0|0|0|1|0|1|2	0.48	0.48	0.48	0.48	0.48	-0.06	2.25	0.16	
ACTR5	EIF4B	EIF4B	6	6	6.00	1	18|7|9|1|0|65|37|60|1	0.00	0.00	0.00	0.00	0.00	-74.32	0.27	0.37	
ACTR5	INO80D	INO80D	10	10	10.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	17.46	100.00	0.00	
ACTR5	TCP1	TCP1	8	8	8.00	1	2|4|14|0|0|3|3|2|0	0.50	0.50	0.50	0.50	0.50	0.01	2.57	0.07	
ACTR5	NONO	NONO	7	7	7.00	1	5|10|0|0|4|4|9|3|4	0.01	0.01	0.01	0.01	0.01	-4.79	1.62	0.32	
ACTR5	CCT4	CCT4	13	13	13.00	1	0|6|11|0|0|0|1|0|0	0.97	0.97	0.97	0.97	0.97	3.40	6.50	0.01	
ACTR5	TUBB6	TUBB6	5	5	5.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	9.53	50.00	0.00	
ACTR5	NPM3	NPM3	1	1	1.00	1	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	2.23	10.00	0.37	
ACTR5	BCLAF1	BCLAF1	11	11	11.00	1	29|25|0|0|0|33|32|50|0	0.00	0.00	0.00	0.00	0.00	-50.27	0.59	0.37	
ACTR5	TFPT	TFPT	13	13	13.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	22.03	130.00	0.00	
ACTR5	ERH	ERH	4	4	4.00	1	4|6|0|0|3|6|9|16|1	0.00	0.00	0.00	0.00	0.00	-10.92	0.80	0.37	
ACTR5	RBM10	RBM10	8	8	8.00	1	28|12|5|0|1|52|31|46|0	0.00	0.00	0.00	0.00	0.00	-59.07	0.41	0.37	
ACTR5	PRPF31	PRPF31	7	7	7.00	1	11|2|0|0|1|19|12|13|0	0.00	0.00	0.00	0.00	0.00	-11.41	1.09	0.34	
ACTR5	H1FX	H1FX	1	1	1.00	1	0|0|0|0|0|0|6|0|0	0.00	0.00	0.00	0.00	0.00	0.25	1.50	0.37	
ACTR5	HMGB2	HMGB2	2	2	2.00	1	2|0|0|0|0|0|0|0|0	0.93	0.93	0.93	0.93	0.93	2.57	9.00	0.01	
ACTR5	SFPQ	SFPQ	5	5	5.00	1	2|6|0|0|2|0|11|0|1	0.31	0.31	0.31	0.31	0.31	-0.81	2.05	0.26	
ACTR5	HNRNPL	HNRNPL	3	3	3.00	1	11|8|0|2|3|4|0|2|4	0.00	0.00	0.00	0.00	0.00	-8.43	0.79	0.37	
ACTR5	SPIN1	SPIN1	2	2	2.00	1	5|13|16|1|2|5|2|6|0	0.00	0.00	0.00	0.00	0.00	-16.83	0.36	0.37	
ACTR5	HNRNPA1	HNRNPA1	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	HSPA2	HSPA2	8	8	8.00	1	6|34|17|0|5|7|8|4|8	0.00	0.00	0.00	0.00	0.00	-22.20	0.81	0.37	
ACTR5	PARP1	PARP1	7	7	7.00	1	1|6|0|0|4|0|0|0|0	0.94	0.94	0.94	0.94	0.94	2.80	5.73	0.01	
ACTR5	HSPD1	HSPD1	4	4	4.00	1	0|11|0|0|3|7|3|4|1	0.01	0.01	0.01	0.01	0.01	-4.71	1.24	0.32	
ACTR5	MOBKL1A	MOBKL1A	2	2	2.00	1	1|2|0|0|0|0|0|0|0	0.88	0.88	0.88	0.88	0.88	1.97	6.00	0.02	
ACTR5	THRAP3	THRAP3	11	11	11.00	1	20|53|0|0|1|50|33|51|3	0.00	0.00	0.00	0.00	0.00	-68.61	0.47	0.37	
ACTR5	HSPA6	HSPA6	11	11	11.00	1	4|38|11|0|3|7|10|29|7	0.00	0.00	0.00	0.00	0.00	-25.37	0.91	0.37	
ACTR5	HSPA1L	HSPA1L	5	5	5.00	1	4|34|17|0|3|4|14|18|8	0.00	0.00	0.00	0.00	0.00	-33.24	0.44	0.37	
ACTR5	DNAJA1	DNAJA1	2	2	2.00	1	0|1|1|0|0|0|0|0|0	0.93	0.93	0.93	0.93	0.93	2.60	9.00	0.01	
ACTR5	FBL	FBL	4	4	4.00	1	0|0|0|0|0|7|2|3|0	0.77	0.77	0.77	0.77	0.77	1.21	3.00	0.03	
ACTR5	HNRNPH1	HNRNPH1	4	4	4.00	1	12|47|8|0|5|12|43|30|7	0.00	0.00	0.00	0.00	0.00	-64.09	0.22	0.37	
ACTR5	HNRNPH2	HNRNPH2	4	4	4.00	1	12|24|2|0|3|7|21|8|5	0.00	0.00	0.00	0.00	0.00	-26.57	0.44	0.37	
ACTR5	TUBB3	TUBB3	4	4	4.00	1	16|15|38|3|3|18|26|20|5	0.00	0.00	0.00	0.00	0.00	-55.00	0.25	0.37	
ACTR5	SFRS2	SFRS2	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	TUBA1C	TUBA1C	2	2	2.00	1	13|69|167|3|3|24|29|20|13	0.00	0.00	0.00	0.00	0.00	-156.18	0.05	0.37	
ACTR5	TUBA8	TUBA8	2	2	2.00	1	7|30|65|0|1|20|20|13|10	0.00	0.00	0.00	0.00	0.00	-71.08	0.11	0.37	
ACTR5	TUBA1B	TUBA1B	2	2	2.00	1	14|69|168|3|5|22|33|23|14	0.00	0.00	0.00	0.00	0.00	-161.10	0.05	0.37	
ACTR5	TUBA1A	TUBA1A	2	2	2.00	1	10|67|166|3|3|19|28|18|11	0.00	0.00	0.00	0.00	0.00	-148.25	0.06	0.37	
ACTR5	TUBA4A	TUBA4A	2	2	2.00	1	8|40|75|0|2|20|20|17|11	0.00	0.00	0.00	0.00	0.00	-84.12	0.09	0.37	
ACTR5	C11orf84	C11orf84	1	1	1.00	1	3|5|1|0|3|4|2|8|0	0.00	0.00	0.00	0.00	0.00	-8.77	0.35	0.37	
ACTR5	MAP1B	MAP1B	13	13	13.00	1	0|0|0|0|0|89|50|157|0	0.00	0.00	0.00	0.00	0.00	-101.79	0.40	0.37	
ACTR5	HNRNPK	HNRNPK	3	3	3.00	1	17|147|13|2|15|12|11|7|18	0.00	0.00	0.00	0.00	0.00	-103.93	0.11	0.37	
ACTR5	CLASP2	CLASP2	7	7	7.00	1	0|0|0|0|0|0|24|14|0	0.03	0.03	0.03	0.03	0.03	-3.52	1.66	0.31	
ACTR5	SF3A1	SF3A1	1	1	1.00	1	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	2.23	10.00	0.37	
ACTR5	NOP58	NOP58	1	1	1.00	1	0|0|0|0|0|0|0|0|3	0.00	0.00	0.00	0.00	0.00	1.15	3.00	0.37	
ACTR5	SNRNP40	SNRNP40	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	HNRNPA2B1	HNRNPA2B1	1	1	1.00	1	13|0|0|0|0|2|2|0|1	0.00	0.00	0.00	0.00	0.00	-4.42	0.50	0.37	
ACTR5	NOLC1	NOLC1	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	DDX3X	DDX3X	2	2	2.00	1	15|10|5|0|1|10|5|4|13	0.00	0.00	0.00	0.00	0.00	-22.81	0.29	0.37	
ACTR5	CHERP	CHERP	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	PSIP1	PSIP1	1	1	1.00	1	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	2.23	10.00	0.37	
ACTR5	KHDRBS1	KHDRBS1	1	1	1.00	1	0|12|0|0|5|0|2|0|1	0.00	0.00	0.00	0.00	0.00	-5.48	0.45	0.37	
ACTR5	EEF1A1	EEF1A1	1	1	1.00	1	72|9|28|0|4|15|7|18|24	0.00	0.00	0.00	0.00	0.00	-80.08	0.05	0.37	
ACTR5	EEF1A2	EEF1A2	1	1	1.00	1	40|6|18|0|0|8|5|3|12	0.00	0.00	0.00	0.00	0.00	-38.76	0.10	0.37	
ACTR5	VIM	VIM	1	1	1.00	1	1|5|118|0|0|0|4|0|0	0.00	0.00	0.00	0.00	0.00	-55.29	0.07	0.37	
ACTR5	WDR18	WDR18	1	1	1.00	1	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	2.23	10.00	0.37	
ACTR5	KIF11	KIF11	3	3	3.00	1	83|31|47|25|53|140|337|223|0	0.00	0.00	0.00	0.00	0.00	-447.43	0.03	0.37	
ACTR5	ACTN4	ACTN4	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	ACTN1	ACTN1	2	2	2.00	1	0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.26	20.00	0.00	
ACTR5	RCC2	RCC2	1	1	1.00	1	1|0|0|0|1|0|0|0|23	0.00	0.00	0.00	0.00	0.00	-7.41	0.36	0.37	
ACTR5	E2F7	E2F7	3	3	3.00	1	0|0|0|0|1|3|1|0|0	0.89	0.89	0.89	0.89	0.89	2.12	5.40	0.01	
ACTR5	DDX5	DDX5	3	3	3.00	1	9|10|3|0|0|0|4|2|8	0.00	0.00	0.00	0.00	0.00	-8.97	0.75	0.37	
ACTR5	STK38L	STK38L	2	2	2.00	1	23|15|49|6|14|24|24|18|0	0.00	0.00	0.00	0.00	0.00	-74.85	0.10	0.37	
ACTR5	HNRNPF	HNRNPF	2	2	2.00	1	9|27|8|0|5|1|20|4|6	0.00	0.00	0.00	0.00	0.00	-30.42	0.22	0.37	
ACTR5	EEF2	EEF2	1	1	1.00	1	12|0|2|1|2|9|6|3|3	0.00	0.00	0.00	0.00	0.00	-13.80	0.24	0.37	
ACTR5	HSPA5	HSPA5	1	1	1.00	1	12|31|8|0|3|21|6|6|8	0.00	0.00	0.00	0.00	0.00	-40.52	0.09	0.37	
ACTR5	DDX21	DDX21	1	1	1.00	1	0|6|0|0|0|0|1|0|1	0.00	0.00	0.00	0.00	0.00	-0.83	1.12	0.37	
ACTR5	FLNA	FLNA	6	6	6.00	1	5|0|2|0|5|67|6|2|1	0.00	0.00	0.00	0.00	0.00	-24.43	0.61	0.37	
ACTR5	SMARCC1	SMARCC1	1	1	1.00	1	8|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.51	1.12	0.37	
ACTR5	HNRNPU	HNRNPU	4	4	4.00	1	41|6|1|0|0|47|46|85|4	0.00	0.00	0.00	0.00	0.00	-95.19	0.16	0.37	
ACTR5	DDX17	DDX17	1	1	1.00	1	7|8|2|0|0|0|3|2|5	0.00	0.00	0.00	0.00	0.00	-8.85	0.33	0.37	
ACTR5	RIF1	RIF1	3	3	3.00	1	12|8|0|0|1|1|0|3|0	0.01	0.01	0.01	0.01	0.01	-4.38	1.08	0.31	
ACTR5	SMC1A	SMC1A	1	1	1.00	1	0|1|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	1.89	9.00	0.37	
ACTR5	DHX9	DHX9	1	1	1.00	1	0|2|0|0|0|2|2|2|0	0.00	0.00	0.00	0.00	0.00	-1.50	1.12	0.37	
ACTR5	SPTBN1	SPTBN1	1	1	1.00	1	11|8|6|0|1|11|3|3|0	0.00	0.00	0.00	0.00	0.00	-16.18	0.21	0.37	
ACTR5	CHD4	CHD4	1	1	1.00	1	9|1|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.43	0.90	0.37	
ACTR5	CHD3	CHD3	1	1	1.00	1	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	2.23	10.00	0.37	
ACTR5	SRRM2	SRRM2	1	1	1.00	1	2|20|0|0|5|21|4|8|2	0.00	0.00	0.00	0.00	0.00	-24.71	0.15	0.37	
ACTR5	PRKDC	PRKDC	1	1	1.00	1	36|0|0|0|0|2|32|9|11	0.00	0.00	0.00	0.00	0.00	-37.62	0.10	0.37	
ACTR6	RUVBL2	RUVBL2	42|22|1	65	21.67	3	6|0|1|0|0|0|0|0|0	0.67	1.00	0.67	1.00	0.67	-0.30	27.86	0.04	
ACTR6	RUVBL1	RUVBL1	44|21|9	74	24.67	3	3|2|0|0|0|0|0|2|0	1.00	1.00	1.00	1.00	1.00	6.05	31.71	0.00	
ACTR6	CCT2	CCT2	202|0|6	208	69.33	3	1|14|20|0|0|0|0|0|0	0.34	1.00	0.34	1.00	0.34	-14.75	17.83	0.19	
ACTR6	CCT5	CCT5	98|0|5	103	34.33	3	0|6|13|0|0|8|2|1|0	0.34	1.00	0.34	1.00	0.34	-12.54	10.30	0.19	
ACTR6	ACTL6A	ACTL6A	16|8|0	24	8.00	3	0|0|0|0|0|0|0|0|0	0.67	1.00	0.67	1.00	0.67	-0.28	80.00	0.04	
ACTR6	CCT3	CCT3	81|0|2	83	27.67	3	0|3|9|0|0|0|2|1|0	0.37	1.00	0.37	1.00	0.37	-5.81	16.60	0.19	
ACTR6	STK38	STK38	105|14|35	154	51.33	3	151|129|151|81|123|49|74|41|0	0.00	0.00	0.00	0.00	0.00	-337.22	0.58	0.37	
ACTR6	ACTB	ACTB	140|10|9	159	53.00	3	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	15.91	530.00	0.00	
ACTR6	HSPA1B	HSPA1B	282|17|14	313	104.33	3	11|52|25|0|6|25|37|71|25	0.33	1.00	0.33	1.00	0.33	-80.61	3.73	0.21	
ACTR6	CCT7	CCT7	142|0|2	144	48.00	3	0|13|22|0|0|1|1|1|0	0.33	1.00	0.33	1.00	0.33	-15.98	11.37	0.21	
ACTR6	CCT8	CCT8	99|0|2	101	33.67	3	0|2|6|0|0|0|6|0|0	0.39	1.00	0.39	1.00	0.39	-5.36	21.64	0.19	
ACTR6	HSPA8	HSPA8	119|5|11	135	45.00	3	18|65|42|0|14|19|19|16|21	0.33	1.00	0.33	1.00	0.33	-85.00	1.89	0.23	
ACTR6	TUBB2B	TUBB2B	128|1|4	133	44.33	3	23|21|47|4|5|34|35|34|6	0.33	1.00	0.33	1.00	0.33	-96.21	1.91	0.22	
ACTR6	TUBB2C	TUBB2C	143|1|4	148	49.33	3	23|30|62|5|7|38|39|37|7	0.33	1.00	0.33	1.00	0.33	-115.35	1.79	0.22	
ACTR6	TUBB	TUBB	171|1|8	180	60.00	3	27|34|75|4|7|45|42|49|6	0.33	1.00	0.33	1.00	0.33	-135.46	1.87	0.22	
ACTR6	CCT6A	CCT6A	95|0|3	98	32.67	3	0|13|12|0|0|0|1|0|0	0.34	1.00	0.34	1.00	0.34	-10.66	11.31	0.19	
ACTR6	HIST1H1C	HIST1H1C	43|7|5	55	18.33	3	3|1|0|2|9|0|43|3|4	0.33	0.98	0.33	0.98	0.33	-16.73	2.54	0.26	
ACTR6	HIST1H1E	HIST1H1E	40|7|5	52	17.33	3	3|1|0|2|9|0|41|3|4	0.33	0.98	0.33	0.98	0.33	-15.89	2.48	0.26	
ACTR6	DYNLL1	DYNLL1	2|0|2	4	1.33	3	2|3|1|0|3|0|0|0|1	0.21	0.32	0.21	0.32	0.21	-3.74	1.20	0.28	
ACTR6	ACTA1	ACTA1	47|6|2	55	18.33	3	20|9|12|4|12|9|5|5|2	0.33	1.00	0.33	1.00	0.33	-29.91	2.12	0.22	
ACTR6	MATR3	MATR3	36|4|28	68	22.67	3	35|49|1|0|24|1|0|0|5	0.01	0.04	0.01	0.04	0.01	-41.00	1.77	0.31	
ACTR6	NPM1	NPM1	8|5|3	16	5.33	3	2|1|0|1|6|0|1|1|4	0.60	0.95	0.60	0.95	0.60	-1.46	3.00	0.05	
ACTR6	HIST1H2BJ	HIST1H2BJ	19|1|0	20	6.67	3	0|0|0|0|0|0|0|0|0	0.33	1.00	0.33	1.00	0.33	-0.28	66.67	0.20	
ACTR6	H2AFZ	H2AFZ	10|2|0	12	4.00	3	1|3|0|0|0|1|0|1|2	0.49	1.00	0.49	1.00	0.49	-3.12	4.50	0.13	
ACTR6	EIF4B	EIF4B	1|2|2	5	1.67	3	18|7|9|1|0|65|37|60|1	0.00	0.00	0.00	0.00	0.00	-90.25	0.08	0.37	
ACTR6	TCP1	TCP1	124|2|0	126	42.00	3	2|4|14|0|0|3|3|2|0	0.33	1.00	0.33	1.00	0.33	-11.54	13.50	0.20	
ACTR6	NONO	NONO	12|5|11	28	9.33	3	5|10|0|0|4|4|9|3|4	0.29	0.53	0.29	0.53	0.29	-7.43	2.15	0.27	
ACTR6	CCT4	CCT4	122|0|6	128	42.67	3	0|6|11|0|0|0|1|0|0	0.59	1.00	0.59	1.00	0.59	-6.59	21.33	0.05	
ACTR6	TUBB6	TUBB6	28|1|1	30	10.00	3	0|0|0|0|0|0|0|0|0	0.33	1.00	0.33	1.00	0.33	2.23	100.00	0.19	
ACTR6	BCLAF1	BCLAF1	33|16|8	57	19.00	3	29|25|0|0|0|33|32|50|0	0.00	0.00	0.00	0.00	0.00	-56.44	1.01	0.35	
ACTR6	ERH	ERH	8|8|0	16	5.33	3	4|6|0|0|3|6|9|16|1	0.00	0.00	0.00	0.00	0.00	-19.85	1.07	0.33	
ACTR6	RBM10	RBM10	2|15|26	43	14.33	3	28|12|5|0|1|52|31|46|0	0.00	0.00	0.00	0.00	0.00	-75.45	0.74	0.36	
ACTR6	PRPF31	PRPF31	16|4|23	43	14.33	3	11|2|0|0|1|19|12|13|0	0.32	0.85	0.32	0.85	0.32	-16.14	2.22	0.26	
ACTR6	H1FX	H1FX	14|0|2	16	5.33	3	0|0|0|0|0|0|6|0|0	0.61	1.00	0.61	1.00	0.61	-2.64	8.00	0.05	
ACTR6	SFPQ	SFPQ	17|4|12	33	11.00	3	2|6|0|0|2|0|11|0|1	0.69	0.98	0.69	0.98	0.69	-1.91	4.50	0.04	
ACTR6	HNRNPL	HNRNPL	14|1|5	20	6.67	3	11|8|0|2|3|4|0|2|4	0.31	0.91	0.31	0.91	0.31	-12.14	1.76	0.26	
ACTR6	HNRNPA1	HNRNPA1	11|0|5	16	5.33	3	0|0|0|0|0|0|0|0|0	0.67	1.00	0.67	1.00	0.67	-0.28	53.33	0.04	
ACTR6	HSPA2	HSPA2	21|3|2	26	8.67	3	6|34|17|0|5|7|8|4|8	0.00	0.00	0.00	0.00	0.00	-34.58	0.88	0.33	
ACTR6	PARP1	PARP1	5|6|21	32	10.67	3	1|6|0|0|4|0|0|0|0	0.93	1.00	0.93	1.00	0.93	2.02	8.73	0.01	
ACTR6	HSPD1	HSPD1	58|4|0	62	20.67	3	0|11|0|0|3|7|3|4|1	0.34	1.00	0.34	1.00	0.34	-12.22	6.41	0.19	
ACTR6	THRAP3	THRAP3	18|15|3	36	12.00	3	20|53|0|0|1|50|33|51|3	0.00	0.00	0.00	0.00	0.00	-89.47	0.51	0.37	
ACTR6	HSPA6	HSPA6	26|3|1	30	10.00	3	4|38|11|0|3|7|10|29|7	0.00	0.00	0.00	0.00	0.00	-47.05	0.83	0.34	
ACTR6	HSPA1L	HSPA1L	108|10|11	129	43.00	3	4|34|17|0|3|4|14|18|8	0.33	1.00	0.33	1.00	0.33	-24.27	3.79	0.22	
ACTR6	DNAJA1	DNAJA1	6|0|0	6	2.00	3	0|1|1|0|0|0|0|0|0	0.33	1.00	0.33	1.00	0.33	-0.72	9.00	0.21	
ACTR6	FBL	FBL	24|0|5	29	9.67	3	0|0|0|0|0|7|2|3|0	0.62	1.00	0.62	1.00	0.62	-4.31	7.25	0.05	
ACTR6	HNRNPH1	HNRNPH1	34|5|5	44	14.67	3	12|47|8|0|5|12|43|30|7	0.00	0.00	0.00	0.00	0.00	-61.39	0.80	0.35	
ACTR6	HNRNPH2	HNRNPH2	22|3|3	28	9.33	3	12|24|2|0|3|7|21|8|5	0.01	0.02	0.01	0.02	0.01	-28.81	1.02	0.32	
ACTR6	TUBB3	TUBB3	81|1|4	86	28.67	3	16|15|38|3|3|18|26|20|5	0.33	1.00	0.33	1.00	0.33	-64.37	1.79	0.22	
ACTR6	SFRS2	SFRS2	3|0|1	4	1.33	3	0|0|0|0|0|0|0|0|0	0.33	1.00	0.33	1.00	0.33	-0.28	13.33	0.22	
ACTR6	TUBA1C	TUBA1C	113|5|13	131	43.67	3	13|69|167|3|3|24|29|20|13	0.00	0.00	0.00	0.00	0.00	-145.15	1.15	0.34	
ACTR6	TUBA8	TUBA8	104|2|8	114	38.00	3	7|30|65|0|1|20|20|13|10	0.33	0.99	0.33	0.99	0.33	-71.08	2.06	0.23	
ACTR6	TUBA1B	TUBA1B	141|7|14	162	54.00	3	14|69|168|3|5|22|33|23|14	0.02	0.05	0.02	0.05	0.02	-143.57	1.38	0.31	
ACTR6	TUBA1A	TUBA1A	125|5|10	140	46.67	3	10|67|166|3|3|19|28|18|11	0.01	0.02	0.01	0.02	0.01	-137.36	1.29	0.32	
ACTR6	TUBA4A	TUBA4A	123|4|11	138	46.00	3	8|40|75|0|2|20|20|17|11	0.33	0.99	0.33	0.99	0.33	-77.66	2.15	0.23	
ACTR6	MAP1B	MAP1B	53|18|32	103	34.33	3	0|0|0|0|0|89|50|157|0	0.00	0.00	0.00	0.00	0.00	-91.04	1.04	0.36	
ACTR6	HNRNPK	HNRNPK	33|16|31	80	26.67	3	17|147|13|2|15|12|11|7|18	0.00	0.00	0.00	0.00	0.00	-71.57	0.99	0.36	
ACTR6	CLASP2	CLASP2	18|5|9	32	10.67	3	0|0|0|0|0|0|24|14|0	0.37	0.94	0.37	0.94	0.37	-6.05	2.53	0.19	
ACTR6	SF3A1	SF3A1	5|2|1	8	2.67	3	0|0|0|0|0|0|0|0|0	0.66	1.00	0.66	1.00	0.66	2.23	26.67	0.04	
ACTR6	NOP58	NOP58	12|1|2	15	5.00	3	0|0|0|0|0|0|0|0|3	0.63	1.00	0.63	1.00	0.63	1.15	15.00	0.05	
ACTR6	SNRNP40	SNRNP40	1|0|3	4	1.33	3	0|0|0|0|0|0|0|0|0	0.33	1.00	0.33	1.00	0.33	-0.28	13.33	0.22	
