uidA,uidB,aliasA,aliasB,interactionType
O76041,Q9BRK4,NEBL,LZTS2,psi-mi:MI:0915(physical association)
A0A024R713,P57721,DLD,PCBP3,MI:0915(physical association)
Q15555,Q15555,MAPRE2,MAPRE2,-
P10696,P10696,ALPPL2,ALPPL2,-
P20929,Q8WZ42,NEB,TTN,psi-mi:MI:0407(direct interaction)
A0A024RC33,Q8TBB1,MAPRE2,LNX1,MI:0915(physical association)
A0A0S2Z489,P62191,PSMD12,PSMC1,MI:0403(colocalization)
B2RB70,Q9BXJ5,NCALD,C1QTNF2,MI:0915(physical association)
Q7L523,Q7L523,RRAGA,RRAGA,-
O43290,P46531,SART1,NOTCH1,MI:0915(physical association)
A0A024R6P0,P04626,SERPINA3,ERBB2,-
O00429,O00429,DNM1L,DNM1L,MI:0915(physical association)
P23381,P23381,WARS,WARS,-
Q5JSZ5,O15372,PRRC2B,EIF3H,MI:0915(physical association)
P98164,P35222,LRP2,CTNNB1,MI:0915(physical association)
A0A024R0F8,Q1MX18,GPSM2,INSC,MI:0915(physical association)
Q9H9D4,Q9H9D4,ZNF408,ZNF408,psi-mi:MI:0915(physical association)
O00329,O00459,PIK3CD,PIK3R2,psi-mi:MI:0915(physical association)
P50458,Q8TBB1,LHX2,LNX1,MI:0915(physical association)
P98164,P98164,LRP2,LRP2,-
Q9H9D4,Q9NRW3,ZNF408,APOBEC3C,MI:0915(physical association)
P40818,A0A024R2T0,USP8,USP4,MI:0407(direct interaction)
Q9UN73,Q9Y5H8,PCDHA6,PCDHA3,MI:0915(physical association)
Q9BVG3,Q9BVG3,TRIM62,TRIM62,MI:0915(physical association)
Q9Y6Y0,P61978,IVNS1ABP,HNRNPK,MI:0915(physical association)
Q9H9D4,A0A0S2Z4N4,ZNF408,PDLIM4,-
Q9H9D4,P25391,ZNF408,LAMA1,MI:0915(physical association)
Q99959,O14802,PKP2,POLR3A,-
P20929,Q8IZP0,NEB,ABI1,MI:0915(physical association)
P53621,P49257,COPA,LMAN1,MI:0915(physical association)
Q96L91,P13196,EP400,ALAS1,MI:0915(physical association)
P51610,Q13105,HCFC1,ZBTB17,-
Q8N8Y2,Q9H9G7,ATP6V0D2,AGO3,MI:0915(physical association)
P53621,P49755,COPA,TMED10,MI:0407(direct interaction)
P25685,Q01484,DNAJB1,ANK2,-
O94782,P52294,USP1,KPNA1,MI:0915(physical association)
P25685,Q99759,DNAJB1,MAP3K3,MI:0915(physical association)
O60315,Q15796,ZEB2,SMAD2,-
P21281,P41252,ATP6V1B2,IARS,MI:0403(colocalization)
O94782,Q08554,USP1,DSC1,MI:0915(physical association)
P22001,P22001,KCNA3,KCNA3,psi-mi:MI:0915(physical association)
Q96L91,A0A024R1E5,EP400,CABIN1,psi-mi:MI:0914(association)
Q6IBW4,A0A024R158,NCAPH2,SMC2,MI:0915(physical association)
Q96L91,K7PPA8,EP400,TP53,MI:0915(physical association)
P28329,O14939,CHAT,PLD2,psi-mi:MI:0914(association)
P09619,Q13370,PDGFRB,PDE3B,MI:0915(physical association)
P40818,Q13972,USP8,RASGRF1,-
O00329,Q92835,PIK3CD,INPP5D,psi-mi:MI:0914(association)
Q02224,O43264,CENPE,ZW10,psi-mi:MI:0915(physical association)
P46531,P35249,NOTCH1,RFC4,MI:0915(physical association)
Q8IY92,P52294,SLX4,KPNA1,MI:0915(physical association)
Q13202,Q13202,DUSP8,DUSP8,MI:0915(physical association)
Q8TBB1,P35638,LNX1,DDIT3,MI:0915(physical association)
P85037,P31946,FOXK1,YWHAB,psi-mi:MI:0915(physical association)
P06280,Q9ULM6,GLA,CNOT6,MI:0915(physical association)
A0A024R5L2,Q49A26,ACY3,GLYR1,MI:0915(physical association)
P25685,Q9H944,DNAJB1,MED20,MI:0915(physical association)
P22059,P35221,OSBP,CTNNA1,MI:0403(colocalization)
P14780,A0A024RDW8,MMP9,COL4A2,psi-mi:MI:0915(physical association)
O15446,P17480,CD3EAP,UBTF,MI:0407(direct interaction)
P30260,A8K2M0,CDC27,PSMC4,psi-mi:MI:0914(association)
B0I1T6,Q15811,MYO9B,ITSN1,psi-mi:MI:0914(association)
Q15418,P42345,RPS6KA1,MTOR,-
Q15418,Q14106,RPS6KA1,TOB2,-
P61978,A0A0S2Z4N5,HNRNPK,TP63,MI:0915(physical association)
P25685,A0A024R9W5,DNAJB1,HUWE1,MI:0915(physical association)
P25685,K7PPA8,DNAJB1,TP53,MI:0915(physical association)
P42081,P42081,CD86,CD86,-
P63261,O00459,ACTG1,PIK3R2,psi-mi:MI:0914(association)
O43683,Q8N3U4,BUB1,STAG2,psi-mi:MI:0915(physical association)
O76041,Q9HAU4,NEBL,SMURF2,MI:0915(physical association)
O75153,Q96KV7,CLUH,WDR90,MI:0915(physical association)
P42345,P42345,MTOR,MTOR,MI:0407(direct interaction)
P61221,P13612,ABCE1,ITGA4,MI:0915(physical association)
P19224,P19224,UGT1A6,UGT1A6,MI:0915(physical association)
P35916,Q38SD2,FLT4,LRRK1,psi-mi:MI:0407(direct interaction)
P14784,P31946,IL2RB,YWHAB,psi-mi:MI:0914(association)
Q9UQ35,Q14566,SRRM2,MCM6,MI:0915(physical association)
Q86UU0,P35222,BCL9L,CTNNB1,-
Q9Y6Q9,F1D8Q5,NCOA3,RXRA,MI:0407(direct interaction)
Q16623,P68400,STX1A,CSNK2A1,-
Q9HCI5,Q9HCI5,MAGEE1,MAGEE1,MI:0407(direct interaction)
P52732,Q9ULI4,KIF11,KIF26A,psi-mi:MI:0914(association)
P52732,Q9NS87,KIF11,KIF15,psi-mi:MI:0914(association)
Q3B820,Q3B820,FAM161A,FAM161A,MI:0915(physical association)
P49759,Q92997,CLK1,DVL3,MI:0915(physical association)
P61221,Q14126,ABCE1,DSG2,MI:0915(physical association)
P61221,Q9UPN3,ABCE1,MACF1,MI:0915(physical association)
A0A024R625,Q92620,PPP4C,DHX38,-
Q1ED39,P46777,KNOP1,RPL5,MI:0915(physical association)
P19367,P19367,HK1,HK1,MI:0915(physical association)
Q01850,Q9H0I2,CDR2,ENKD1,psi-mi:MI:0915(physical association)
Q9UIG0,P28370,BAZ1B,SMARCA1,-
Q99638,P27708,RAD9A,CAD,psi-mi:MI:0914(association)
Q01850,Q8IYE1,CDR2,CCDC13,MI:0915(physical association)
P56470,A0A0S2Z5C2,LGALS4,BANP,MI:0915(physical association)
Q9Y490,Q07889,TLN1,SOS1,psi-mi:MI:0915(physical association)
H9NIM5,P08754,RGS20,GNAI3,-
Q9UQ35,A8K2M0,SRRM2,PSMC4,MI:0915(physical association)
Q9Y490,Q9UIW2,TLN1,PLXNA1,psi-mi:MI:0914(association)
P56470,Q9HCM3,LGALS4,KIAA1549,-
Q9Y490,Q9Y490,TLN1,TLN1,psi-mi:MI:0915(physical association)
A0A0C3SFZ9,Q8IYE1,FCHO1,CCDC13,MI:0915(physical association)
Q02388,P23284,COL7A1,PPIB,psi-mi:MI:0915(physical association)
Q9Y490,A0A024QZJ4,TLN1,MYH11,psi-mi:MI:0915(physical association)
Q12923,P18146,PTPN13,EGR1,psi-mi:MI:0915(physical association)
P35222,Q92997,CTNNB1,DVL3,-
O43474,P46531,KLF4,NOTCH1,psi-mi:MI:0915(physical association)
Q6IBS0,Q96PU4,TWF2,UHRF2,MI:0403(colocalization)
Q9H814,P52294,PHAX,KPNA1,MI:0915(physical association)
A0A024QZ23,A0A024R274,TFE3,SMAD4,-
A0A024R0H6,Q9Y6D5,PAF1,ARFGEF2,MI:0403(colocalization)
P49748,P49748,ACADVL,ACADVL,-
V9HW50,V9HW50,ADH1B,ADH1B,-
A2RRP1,P35606,NBAS,COPB2,MI:0915(physical association)
P55268,O15230,LAMB2,LAMA5,psi-mi:MI:0915(physical association)
P35222,Q9ULB4,CTNNB1,CDH9,MI:0915(physical association)
P11142,P18583,HSPA8,SON,MI:0403(colocalization)
P18858,Q07864,LIG1,POLE,psi-mi:MI:0914(association)
P11142,P25685,HSPA8,DNAJB1,MI:0407(direct interaction)
P11142,Q9BSJ2,HSPA8,TUBGCP2,MI:0915(physical association)
P11142,O43681,HSPA8,ASNA1,MI:0403(colocalization)
P14780,Q01955,MMP9,COL4A3,-
Q2YD98,Q16531,UVSSA,DDB1,MI:0915(physical association)
P11142,P08684,HSPA8,CYP3A4,MI:0915(physical association)
P11142,P51610,HSPA8,HCFC1,MI:0915(physical association)
P11142,P04629,HSPA8,NTRK1,MI:0915(physical association)
P11142,Q6ZRF8,HSPA8,RNF207,MI:0915(physical association)
P11142,Q96PH1,HSPA8,NOX5,MI:0915(physical association)
P11142,F5H6X6,HSPA8,GANAB,MI:0915(physical association)
Q9NX47,Q7Z434,MARCH5,MAVS,MI:0915(physical association)
Q01850,Q01850,CDR2,CDR2,MI:0407(direct interaction)
O43541,O43541,SMAD6,SMAD6,psi-mi:MI:0915(physical association)
Q96BZ8,Q2TAC2,LENG1,CCDC57,MI:0915(physical association)
O00472,Q6PD62,ELL2,CTR9,MI:0915(physical association)
O00268,Q99081,TAF4,TCF12,MI:0407(direct interaction)
A0A024R713,P07451,DLD,CA3,psi-mi:MI:0914(association)
Q15154,A0A024R1I7,PCM1,TFIP11,MI:0915(physical association)
Q9NXG0,Q9BV73,CNTLN,CEP250,psi-mi:MI:0914(association)
O15078,Q9BSJ2,CEP290,TUBGCP2,psi-mi:MI:0915(physical association)
Q13263,P49368,TRIM28,CCT3,MI:0403(colocalization)
P61978,Q9Y6X2,HNRNPK,PIAS3,MI:0915(physical association)
Q09472,Q99081,EP300,TCF12,-
Q09472,Q6NUN0,EP300,ACSM5,MI:0407(direct interaction)
Q09472,Q9NQX0,EP300,PRDM6,MI:0915(physical association)
Q09472,O43474,EP300,KLF4,MI:0403(colocalization)
Q09472,A0A0C4DG53,EP300,RORA,-
Q09472,Q14839,EP300,CHD4,-
Q09472,Q08050,EP300,FOXM1,psi-mi:MI:0915(physical association)
Q13263,Q14587,TRIM28,ZNF268,MI:0915(physical association)
Q13263,F5H2M4,TRIM28,ZNF254,MI:0915(physical association)
P00736,P00736,C1R,C1R,MI:0570(protein cleavage)
Q13263,Q92922,TRIM28,SMARCC1,MI:0915(physical association)
Q96BZ8,Q9Y250,LENG1,LZTS1,MI:0915(physical association)
P00736,Q09472,C1R,EP300,psi-mi:MI:0915(physical association)
Q13263,Q86VP6,TRIM28,CAND1,MI:0915(physical association)
Q9Y6Q9,Q9H944,NCOA3,MED20,psi-mi:MI:0915(physical association)
Q13263,Q9UQ90,TRIM28,SPG7,MI:0915(physical association)
P49792,A0A024R5Q8,RANBP2,CTDSPL2,MI:0915(physical association)
P49792,A0A024QYX8,RANBP2,WAS,MI:0407(direct interaction)
A0A024R1L9,P35222,CBY1,CTNNB1,MI:0407(direct interaction)
A0A024R1L9,Q9NRR6,CBY1,INPP5E,MI:0915(physical association)
Q9Y6K1,Q6PD62,DNMT3A,CTR9,MI:0915(physical association)
Q92993,Q13332,KAT5,PTPRS,MI:0915(physical association)
A0A024R1L9,Q8TBB1,CBY1,LNX1,MI:0915(physical association)
A0A024R1L9,O43166,CBY1,SIPA1L1,MI:0915(physical association)
O60307,Q14966,MAST3,ZNF638,MI:0915(physical association)
Q9Y678,O95714,COPG1,HERC2,MI:0915(physical association)
P31946,P31946,YWHAB,YWHAB,MI:0407(direct interaction)
Q8WV44,Q8WV44,TRIM41,TRIM41,MI:0915(physical association)
Q8NCE0,P40818,TSEN2,USP8,MI:0403(colocalization)
Q9Y6K1,Q9Y6K1,DNMT3A,DNMT3A,MI:0407(direct interaction)
B2RB89,P26951,PRKACB,IL3RA,psi-mi:MI:0915(physical association)
A0A0S2Z3V5,A0A0S2Z3V5,GAD1,GAD1,MI:0407(direct interaction)
A0A024R9W5,Q15393,HUWE1,SF3B3,MI:0915(physical association)
A0A024R9W5,P13010,HUWE1,XRCC5,MI:0915(physical association)
A0A024R9W5,A0A0K0K1L8,HUWE1,PSME1,MI:0915(physical association)
Q7Z3K3,A0A024R0T0,POGZ,ZNF576,MI:0915(physical association)
Q15750,P35221,TAB1,CTNNA1,psi-mi:MI:0914(association)
O14827,O00212,RASGRF2,RHOD,psi-mi:MI:0915(physical association)
Q9HAU0,P55268,PLEKHA5,LAMB2,MI:0915(physical association)
Q96AP7,Q14676,ESAM,MDC1,MI:0915(physical association)
A0A024R9W5,A0A024R2T0,HUWE1,USP4,MI:0915(physical association)
Q9HAU0,A0A024R1L9,PLEKHA5,CBY1,MI:0915(physical association)
Q9UHC1,Q9Y2M0,MLH3,FAN1,psi-mi:MI:0914(association)
Q9UHC1,A0A024R3C7,MLH3,ATM,psi-mi:MI:0915(physical association)
Q14524,Q12955,SCN5A,ANK3,MI:0407(direct interaction)
Q14155,O00459,ARHGEF7,PIK3R2,psi-mi:MI:0914(association)
Q99081,Q99081,TCF12,TCF12,MI:0407(direct interaction)
P49368,A0A024R9W5,CCT3,HUWE1,MI:0915(physical association)
P49368,K7PPA8,CCT3,TP53,MI:0915(physical association)
P49368,P53621,CCT3,COPA,MI:0403(colocalization)
P49368,A0A0S2Z4W2,CCT3,GAN,MI:0915(physical association)
P49368,F5H6X6,CCT3,GANAB,MI:0915(physical association)
P52789,Q13105,HK2,ZBTB17,-
P49368,Q9P0V3,CCT3,SH3BP4,MI:0407(direct interaction)
O60293,Q9P2N5,ZFC3H1,RBM27,MI:0915(physical association)
Q5T5Y3,Q01082,CAMSAP1,SPTBN1,MI:0407(direct interaction)
P13196,P13196,ALAS1,ALAS1,MI:0915(physical association)
P13196,O60437,ALAS1,PPL,MI:0915(physical association)
P13196,Q9Y473,ALAS1,ZNF175,MI:0915(physical association)
A0A0S2Z4N5,K7PPA8,TP63,TP53,MI:0915(physical association)
A0A0S2Z4N5,P46379,TP63,BAG6,MI:0915(physical association)
O60293,Q2TAC2,ZFC3H1,CCDC57,psi-mi:MI:0915(physical association)
F6KD01,P98170,PTEN,XIAP,MI:0915(physical association)
F6KD01,P21860,PTEN,ERBB3,MI:0407(direct interaction)
P21802,Q06124,FGFR2,PTPN11,psi-mi:MI:0915(physical association)
F6KD01,F6KD01,PTEN,PTEN,MI:0407(direct interaction)
Q8TC76,Q9P0V3,FAM110B,SH3BP4,MI:0915(physical association)
O15156,Q6P2Q9,ZBTB7B,PRPF8,MI:0915(physical association)
Q92993,Q9BYV9,KAT5,BACH2,MI:0915(physical association)
F6KD01,O75747,PTEN,PIK3C2G,psi-mi:MI:0914(association)
Q8TE68,Q07889,EPS8L1,SOS1,-
O14827,P49411,RASGRF2,TUFM,psi-mi:MI:0915(physical association)
Q01831,P28715,XPC,ERCC5,psi-mi:MI:0915(physical association)
P52789,A0A024QZK7,HK2,HK1,MI:0915(physical association)
Q9UHL9,O75925,GTF2IRD1,PIAS1,MI:0915(physical association)
P63000,P0CG48,RAC1,UBC,MI:0915(physical association)
P22001,P17480,KCNA3,UBTF,MI:0915(physical association)
Q92993,P60953,KAT5,CDC42,-
P63000,P42704,RAC1,LRPPRC,MI:0915(physical association)
Q96L91,P35222,EP400,CTNNB1,MI:0915(physical association)
Q00653,P27708,NFKB2,CAD,MI:0915(physical association)
Q00653,Q00653,NFKB2,NFKB2,-
Q00653,Q15653,NFKB2,NFKBIB,-
Q9Y490,P41252,TLN1,IARS,MI:0403(colocalization)
Q9Y490,P04626,TLN1,ERBB2,MI:0407(direct interaction)
Q9UQB8,Q96JJ3,BAIAP2,ELMO2,psi-mi:MI:0914(association)
P63000,O75051,RAC1,PLXNA2,psi-mi:MI:0915(physical association)
P63000,P51805,RAC1,PLXNA3,psi-mi:MI:0915(physical association)
P63000,P63261,RAC1,ACTG1,psi-mi:MI:0915(physical association)
Q9Y490,O75051,TLN1,PLXNA2,psi-mi:MI:0914(association)
P04264,P19012,KRT1,KRT15,MI:0915(physical association)
Q15554,Q15554,TERF2,TERF2,psi-mi:MI:0915(physical association)
Q15554,Q8N9N5,TERF2,BANP,psi-mi:MI:0915(physical association)
A8MVW5,Q13332,HEPACAM2,PTPRS,MI:0915(physical association)
P31629,A0A024R625,HIVEP2,PPP4C,psi-mi:MI:0915(physical association)
Q15554,Q16531,TERF2,DDB1,MI:0915(physical association)
Q15554,E9PAU2,TERF2,RAVER1,MI:0915(physical association)
Q9H4I3,P0CG48,TRABD,UBC,MI:0915(physical association)
Q9UQB8,O00459,BAIAP2,PIK3R2,psi-mi:MI:0914(association)
Q8TD22,P60709,SFXN5,ACTB,MI:0915(physical association)
A0A024R1Q5,A0A024R1Q5,NAGA,NAGA,psi-mi:MI:0914(association)
P08138,P08138,NGFR,NGFR,MI:0915(physical association)
P49368,P0CG48,CCT3,UBC,MI:0915(physical association)
P49368,Q9C0C7,CCT3,AMBRA1,MI:0915(physical association)
P35221,Q9H0H5,CTNNA1,RACGAP1,MI:0915(physical association)
P49368,P68402,CCT3,PAFAH1B2,MI:0915(physical association)
P35221,P35222,CTNNA1,CTNNB1,-
P49792,Q02224,RANBP2,CENPE,psi-mi:MI:0915(physical association)
P49792,Q92620,RANBP2,DHX38,psi-mi:MI:0914(association)
Q9BV35,Q07954,SLC25A23,LRP1,MI:0915(physical association)
A0A024R878,P18146,ENG,EGR1,psi-mi:MI:0915(physical association)
P21802,P21802,FGFR2,FGFR2,MI:0407(direct interaction)
Q9H9G7,P51164,AGO3,ATP4B,MI:0915(physical association)
P35221,Q9Y2H8,CTNNA1,ZNF510,MI:0915(physical association)
Q9BPU6,O75051,DPYSL5,PLXNA2,psi-mi:MI:0915(physical association)
Q9BPU6,P51805,DPYSL5,PLXNA3,psi-mi:MI:0915(physical association)
Q9NPG1,Q92997,FZD3,DVL3,psi-mi:MI:0914(association)
A0A024R0N3,P60953,ZNF234,CDC42,MI:0407(direct interaction)
P16473,P34998,TSHR,CRHR1,psi-mi:MI:0914(association)
P20591,Q9UL62,MX1,TRPC5,-
A8K3F7,A8K3F7,IL11,IL11,psi-mi:MI:0915(physical association)
Q14573,P42704,ITPR3,LRPPRC,MI:0915(physical association)
P22607,P21802,FGFR3,FGFR2,psi-mi:MI:0914(association)
P22607,P22455,FGFR3,FGFR4,psi-mi:MI:0914(association)
Q12979,P60953,ABR,CDC42,psi-mi:MI:0915(physical association)
Q12979,O75116,ABR,ROCK2,psi-mi:MI:0914(association)
P56545,Q09472,CTBP2,EP300,-
P56545,Q15583,CTBP2,TGIF1,-
O43683,O43683,BUB1,BUB1,MI:0915(physical association)
Q14573,Q07889,ITPR3,SOS1,psi-mi:MI:0914(association)
A0A140VJI5,A0A140VJI5,DUSP23,DUSP23,MI:0915(physical association)
P46087,Q1ED39,NOP2,KNOP1,MI:0915(physical association)
P46087,A0A090N7U0,NOP2,CUL1,MI:0915(physical association)
P51814,Q15796,ZNF41,SMAD2,MI:0915(physical association)
Q92859,Q8IZJ1,NEO1,UNC5B,MI:0915(physical association)
O14802,B1AQP2,POLR3A,PFDN2,MI:0915(physical association)
P63146,Q14527,UBE2B,HLTF,MI:0915(physical association)
A0A090N7U0,A0A090N7U0,CUL1,CUL1,-
A0A090N7U0,A6NNF7,CUL1,SCNN1D,MI:0915(physical association)
Q9BRK4,Q9H9D4,LZTS2,ZNF408,MI:0915(physical association)
A0A090N7U0,P52294,CUL1,KPNA1,MI:0915(physical association)
A0A090N7U0,P61313,CUL1,RPL15,MI:0915(physical association)
A0A090N7U0,Q9UKT5,CUL1,FBXO4,psi-mi:MI:0915(physical association)
A0A090N7U0,Q92831,CUL1,KAT2B,psi-mi:MI:0914(association)
A0A090N7U0,A8K2M0,CUL1,PSMC4,psi-mi:MI:0914(association)
P29375,Q01167,KDM5A,FOXK2,MI:0915(physical association)
Q01082,Q01082,SPTBN1,SPTBN1,MI:0407(direct interaction)
Q08378,A0A024R3P9,GOLGA3,ACBD3,MI:0915(physical association)
P21860,Q92552,ERBB3,MRPS27,MI:0915(physical association)
A0A024R475,A0A024R475,CUL3,CUL3,psi-mi:MI:0915(physical association)
A0A024R5F4,F1D8Q5,CPT1A,RXRA,psi-mi:MI:0914(association)
P35372,Q14416,OPRM1,GRM2,psi-mi:MI:0914(association)
E9PFH7,O14733,MAPK8IP3,MAP2K7,-
P07900,Q8TBB1,HSP90AA1,LNX1,MI:0915(physical association)
P13612,Q9Y3C6,ITGA4,PPIL1,MI:0915(physical association)
P13612,Q15366,ITGA4,PCBP2,MI:0915(physical association)
P13612,P31946,ITGA4,YWHAB,MI:0915(physical association)
Q9HBA0,Q9HBA0,TRPV4,TRPV4,MI:0915(physical association)
Q9NRY4,P20936,ARHGAP35,RASA1,MI:0915(physical association)
P07900,Q6ZSB9,HSP90AA1,ZBTB49,MI:0915(physical association)
Q9NRY4,P60953,ARHGAP35,CDC42,MI:0407(direct interaction)
Q9Y2X9,Q8IY33,ZNF281,MICALL2,MI:0915(physical association)
Q9GZV5,A0A024R274,WWTR1,SMAD4,psi-mi:MI:0915(physical association)
Q86VP6,Q8IX12,CAND1,CCAR1,MI:0403(colocalization)
P21860,P04626,ERBB3,ERBB2,-
P07900,A0A024R9W5,HSP90AA1,HUWE1,MI:0915(physical association)
Q9NYV8,P50052,TAS2R14,AGTR2,psi-mi:MI:0914(association)
Q9NYV8,P08754,TAS2R14,GNAI3,psi-mi:MI:0915(physical association)
O75448,Q71F56,MED24,MED13L,psi-mi:MI:0915(physical association)
O75146,O00291,HIP1R,HIP1,-
O76081,Q02930,RGS20,CREB5,MI:0407(direct interaction)
O75146,O75146,HIP1R,HIP1R,MI:0407(direct interaction)
A0A024R0L6,A0A024R0L6,PAFAH1B3,PAFAH1B3,-
P62191,Q9Y6X2,PSMC1,PIAS3,MI:0915(physical association)
P25685,Q9C0C7,DNAJB1,AMBRA1,MI:0915(physical association)
P13639,P47914,EEF2,RPL29,psi-mi:MI:0915(physical association)
A0A024RAU1,P34998,IAPP,CRHR1,psi-mi:MI:0915(physical association)
F5H6X6,A0A024R9W5,GANAB,HUWE1,MI:0915(physical association)
Q13643,Q13643,FHL3,FHL3,-
Q13643,Q8TBB1,FHL3,LNX1,MI:0915(physical association)
P62191,Q9NYU2,PSMC1,UGGT1,MI:0403(colocalization)
Q13643,Q02930,FHL3,CREB5,MI:0915(physical association)
Q2MKA7,Q9NZR2,RSPO1,LRP1B,MI:0915(physical association)
Q9Y244,Q9Y244,POMP,POMP,MI:0407(direct interaction)
A0A024R1I7,A0A1W2PRB5,TFIP11,KANSL1,MI:0407(direct interaction)
P15170,P15170,GSPT1,GSPT1,-
P21817,P21817,RYR1,RYR1,MI:0407(direct interaction)
Q9UQ35,O43290,SRRM2,SART1,MI:0403(colocalization)
Q9UQ35,P18583,SRRM2,SON,MI:0403(colocalization)
Q8IY81,P27635,FTSJ3,RPL10,MI:0915(physical association)
Q9H9G7,P46531,AGO3,NOTCH1,psi-mi:MI:0914(association)
Q5VV41,Q9NRY4,ARHGEF16,ARHGAP35,psi-mi:MI:0914(association)
B7Z770,Q9NZJ6,NOVA1,COQ3,MI:0403(colocalization)
P14780,Q09472,MMP9,EP300,psi-mi:MI:0915(physical association)
P07900,A0A024R906,HSP90AA1,DDR2,MI:0915(physical association)
P07900,P21860,HSP90AA1,ERBB3,MI:0915(physical association)
P11717,Q15075,IGF2R,EEA1,MI:0403(colocalization)
P07900,A0A0S2Z4W2,HSP90AA1,GAN,MI:0915(physical association)
P07900,O15033,HSP90AA1,AREL1,MI:0915(physical association)
P07900,Q8WXJ9,HSP90AA1,ASB17,MI:0915(physical association)
P07900,Q5TEA3,HSP90AA1,C20orf194,MI:0915(physical association)
P07900,P24723,HSP90AA1,PRKCH,MI:0915(physical association)
P07900,Q9UM73,HSP90AA1,ALK,MI:0915(physical association)
P07900,Q9C0C7,HSP90AA1,AMBRA1,MI:0915(physical association)
P07900,P33981,HSP90AA1,TTK,MI:0407(direct interaction)
Q9BQK8,O75420,LPIN3,GIGYF1,MI:0915(physical association)
Q9BQK8,O15075,LPIN3,DCLK1,MI:0915(physical association)
Q9BQK8,Q12923,LPIN3,PTPN13,MI:0915(physical association)
Q9BQK8,O60307,LPIN3,MAST3,MI:0915(physical association)
Q70Z35,P42345,PREX2,MTOR,MI:0915(physical association)
P20936,A0A0S2Z377,RASA1,ANXA6,MI:0407(direct interaction)
Q96P47,Q7Z417,AGAP3,NUFIP2,MI:0915(physical association)
A0A024RDA9,Q15051,EXOC1,IQCB1,MI:0915(physical association)
A0A024RDA9,P61006,EXOC1,RAB8A,psi-mi:MI:0914(association)
Q5VV41,Q8WWN8,ARHGEF16,ARAP3,psi-mi:MI:0914(association)
Q13469,Q13469,NFATC2,NFATC2,-
P46782,P61313,RPS5,RPL15,MI:0403(colocalization)
P46782,Q14240,RPS5,EIF4A2,psi-mi:MI:0915(physical association)
