uidA,uidB,aliasA,aliasB,interactionType
Q6FII1,Q8NBQ5,GSTK1,HSD17B11,psi-mi:MI:0915(physical association)
O15357,P00533,INPPL1,EGFR,-
Q9NX02,Q9Y2G2,NLRP2,CARD8,psi-mi:MI:0915(physical association)
P14618,Q99814,PKM,EPAS1,psi-mi:MI:0915(physical association)
Q9UJX0,A0A024R3C7,OSGIN1,ATM,MI:0407(direct interaction)
Q9NQX4,Q96BY2,MYO5C,MOAP1,MI:0915(physical association)
O14640,Q6P3W7,DVL1,SCYL2,psi-mi:MI:0407(direct interaction)
A0A024QZS4,A0A0S2Z3H3,PPIF,SLC25A4,-
Q5S007,A0A024RB09,LRRK2,RAB5B,psi-mi:MI:0217(phosphorylation reaction)
O43187,A0A024RA73,IRAK2,NOD1,psi-mi:MI:0914(association)
Q86UR1,A0A024RD15,NOXA1,MAPK14,psi-mi:MI:0217(phosphorylation reaction)
Q96T66,Q96T66,NMNAT3,NMNAT3,psi-mi:MI:0915(physical association)
Q14203,Q8NFJ9,DCTN1,BBS1,MI:0407(direct interaction)
Q96IP4,Q9UBS8,FAM46A,RNF14,-
O75410,P10827,TACC1,THRA,MI:0915(physical association)
Q99471,Q2WGJ6,PFDN5,KLHL38,MI:0915(physical association)
P68431,P25205,HIST1H3A,MCM3,MI:0915(physical association)
P55268,Q96DN2,LAMB2,VWCE,MI:0915(physical association)
Q07627,Q9NP91,KRTAP1-1,SLC6A20,MI:0915(physical association)
Q9Y2I6,P07900,NINL,HSP90AA1,psi-mi:MI:0915(physical association)
Q9Y2I6,Q96CW5,NINL,TUBGCP3,psi-mi:MI:0915(physical association)
O15357,P46940,INPPL1,IQGAP1,MI:0915(physical association)
Q9H211,A0A024R1S2,CDT1,CDC6,MI:0407(direct interaction)
P10144,P30419,GZMB,NMT1,psi-mi:MI:0914(association)
O95817,Q9UBT2,BAG3,UBA2,MI:0915(physical association)
Q9BWV1,O75386,BOC,TULP3,MI:0915(physical association)
O95817,Q8WWB5,BAG3,PIH1D2,MI:0915(physical association)
Q9Y2I6,Q9P209,NINL,CEP72,psi-mi:MI:0915(physical association)
P08908,P25929,HTR1A,NPY1R,psi-mi:MI:0914(association)
P11047,A0A024R693,LAMC1,LGALS3,MI:0915(physical association)
P08908,P09341,HTR1A,CXCL1,psi-mi:MI:0915(physical association)
P08908,O43306,HTR1A,ADCY6,psi-mi:MI:0914(association)
P08908,Q9Y2T6,HTR1A,GPR55,psi-mi:MI:0914(association)
P08908,A5JUU3,HTR1A,P2RY14,psi-mi:MI:0914(association)
Q8WWY8,A0A024QZ45,LIPH,BRIP1,MI:0915(physical association)
P08908,P35346,HTR1A,SSTR5,psi-mi:MI:0914(association)
Q8WWY8,P35916,LIPH,FLT4,MI:0915(physical association)
Q8WWY8,Q92791,LIPH,P3H4,MI:0915(physical association)
Q99471,Q7Z5V6,PFDN5,PPP1R32,MI:0915(physical association)
Q96CA5,Q96EY7,BIRC7,PTCD3,MI:0407(direct interaction)
Q99471,Q6P4E2,PFDN5,LARP4,MI:0915(physical association)
Q9P1Y6,Q6NYC1,PHRF1,JMJD6,MI:0915(physical association)
A0A024RB49,Q9HA38,TARBP2,ZMAT3,MI:0915(physical association)
Q99471,Q3KP44,PFDN5,ANKRD55,MI:0915(physical association)
Q6AZY7,Q13535,SCARA3,ATR,MI:0915(physical association)
Q6AZY7,Q86SQ7,SCARA3,SDCCAG8,MI:0915(physical association)
O14640,Q9C0F1,DVL1,CEP44,MI:0915(physical association)
Q14203,Q9P209,DCTN1,CEP72,psi-mi:MI:0915(physical association)
Q14203,Q9BYV8,DCTN1,CEP41,psi-mi:MI:0915(physical association)
Q14203,Q9UPV0,DCTN1,CEP164,psi-mi:MI:0915(physical association)
Q9NX63,A0A087WVR4,CHCHD3,MYC,MI:0915(physical association)
P49354,P52789,FNTA,HK2,MI:0403(colocalization)
O43252,O43143,PAPSS1,DHX15,MI:0403(colocalization)
Q01955,P08123,COL4A3,COL1A2,psi-mi:MI:0915(physical association)
Q9NX63,Q96R06,CHCHD3,SPAG5,MI:0407(direct interaction)
Q9ULH0,Q96J42,KIDINS220,TXNDC15,MI:0915(physical association)
P37288,P30556,AVPR1A,AGTR1,psi-mi:MI:0914(association)
P28331,B4DL14,NDUFS1,ATP5C1,MI:0403(colocalization)
P28331,P00533,NDUFS1,EGFR,MI:0915(physical association)
P28331,O43292,NDUFS1,GPAA1,MI:0915(physical association)
Q9ULH0,P33176,KIDINS220,KIF5B,MI:0915(physical association)
Q9H4B7,Q7L5N1,TUBB1,COPS6,MI:0915(physical association)
P49354,Q711Q0,FNTA,C10orf71,MI:0915(physical association)
Q14511,Q15797,NEDD9,SMAD1,MI:0915(physical association)
Q01955,P02452,COL4A3,COL1A1,psi-mi:MI:0915(physical association)
Q8WTR4,Q6PEX3,GDPD5,KRTAP26-1,psi-mi:MI:0915(physical association)
P00533,Q9H6Q3,EGFR,SLA2,psi-mi:MI:0915(physical association)
P12757,Q9H2Y7,SKIL,ZNF106,-
Q13639,Q13639,HTR4,HTR4,MI:0915(physical association)
A0A024R429,A0A024RAZ1,CRYBA2,CALCOCO1,psi-mi:MI:0915(physical association)
P37288,Q15077,AVPR1A,P2RY6,psi-mi:MI:0914(association)
Q96IZ7,O60383,RSRC1,GDF9,-
Q9H211,Q8IWZ3,CDT1,ANKHD1,MI:0915(physical association)
Q01955,Q01955,COL4A3,COL4A3,psi-mi:MI:0915(physical association)
Q5S007,P24844,LRRK2,MYL9,psi-mi:MI:0407(direct interaction)
Q9NTJ3,Q9NRG4,SMC4,SMYD2,psi-mi:MI:0915(physical association)
P37288,P20800,AVPR1A,EDN2,psi-mi:MI:0915(physical association)
P37288,P20396,AVPR1A,TRH,psi-mi:MI:0915(physical association)
P00533,Q8N1I0,EGFR,DOCK4,MI:0915(physical association)
O95169,Q16718,NDUFB8,NDUFA5,psi-mi:MI:0915(physical association)
O95169,P28331,NDUFB8,NDUFS1,psi-mi:MI:0915(physical association)
P00533,Q12913,EGFR,PTPRJ,psi-mi:MI:0203(dephosphorylation reaction)
Q8WWN8,Q5VST9,ARAP3,OBSCN,psi-mi:MI:0914(association)
A0A024R276,A0A024R276,CTSL,CTSL,-
Q14232,Q9NR50,EIF2B1,EIF2B3,MI:0915(physical association)
P00533,Q9Y2I7,EGFR,PIKFYVE,psi-mi:MI:0914(association)
P04632,O00463,CAPNS1,TRAF5,MI:0915(physical association)
Q99715,Q99715,COL12A1,COL12A1,-
Q96IZ7,Q6NYC1,RSRC1,JMJD6,MI:0915(physical association)
Q8IXW5,Q96HW7,RPAP2,INTS4,MI:0915(physical association)
Q86YC2,P51587,PALB2,BRCA2,MI:0915(physical association)
Q15633,Q96T60,TARBP2,PNKP,MI:0915(physical association)
Q8NEZ3,O75386,WDR19,TULP3,MI:0915(physical association)
Q96IZ7,Q06265,RSRC1,EXOSC9,MI:0915(physical association)
Q8NCG7,A0A024R1K5,DAGLB,PISD,-
Q9H461,Q9HD26,FZD8,GOPC,-
A0A024RDL8,P47897,ASL,QARS,psi-mi:MI:0915(physical association)
O43252,O00204,PAPSS1,SULT2B1,psi-mi:MI:0914(association)
P49354,A0A0S2Z5U7,FNTA,DIABLO,psi-mi:MI:0914(association)
Q01718,Q8WXF3,MC2R,RLN3,psi-mi:MI:0915(physical association)
Q01718,Q8TDU6,MC2R,GPBAR1,psi-mi:MI:0914(association)
Q01718,P16473,MC2R,TSHR,psi-mi:MI:0914(association)
Q01362,Q9UQC2,MS4A2,GAB2,psi-mi:MI:0915(physical association)
A0A140VJW5,P54136,DARS,RARS,psi-mi:MI:0915(physical association)
Q99814,Q9BXC9,EPAS1,BBS2,MI:0407(direct interaction)
Q9NQT5,Q9NQT5,EXOSC3,EXOSC3,MI:0915(physical association)
P20594,P20594,NPR2,NPR2,-
D3DP78,P41252,DARS,IARS,MI:0403(colocalization)
O43143,Q96BK5,DHX15,PINX1,MI:0407(direct interaction)
P68431,Q9Y2V0,HIST1H3A,C15orf41,MI:0915(physical association)
Q9H307,Q9Y3X0,PNN,CCDC9,MI:0915(physical association)
Q8N2M4,Q58DX5,TMEM86A,NAALADL2,MI:0915(physical association)
Q9UQ35,P60660,SRRM2,MYL6,MI:0915(physical association)
Q8WYA0,Q9UG01,IFT81,IFT172,MI:0915(physical association)
A0A024RB38,Q9H0I2,STAC3,ENKD1,MI:0407(direct interaction)
Q14151,Q8N8Y5,SAFB2,ZFP41,MI:0915(physical association)
Q13526,A0A087WVR4,PIN1,MYC,MI:0915(physical association)
Q13526,P06576,PIN1,ATP5B,MI:0407(direct interaction)
Q9NTJ3,Q15021,SMC4,NCAPD2,psi-mi:MI:0915(physical association)
Q9UQ35,P11177,SRRM2,PDHB,MI:0915(physical association)
Q13526,Q6UXH1,PIN1,CRELD2,MI:0915(physical association)
Q13526,Q9GZT6,PIN1,CCDC90B,MI:0915(physical association)
Q13526,Q8NC74,PIN1,RBBP8NL,MI:0915(physical association)
Q13526,Q9NZQ3,PIN1,NCKIPSD,MI:0915(physical association)
P49748,P40939,ACADVL,HADHA,psi-mi:MI:0914(association)
O14983,O75386,ATP2A1,TULP3,psi-mi:MI:0915(physical association)
Q9Y2T1,Q06830,AXIN2,PRDX1,MI:0915(physical association)
P51178,A0A0S2Z4R4,PLCD1,HGS,MI:0915(physical association)
Q96IQ7,Q9HAV4,VSIG2,XPO5,MI:0915(physical association)
Q9NQT8,Q9BZF3,KIF13B,OSBPL6,MI:0915(physical association)
Q6IBR2,P02649,FARSA,APOE,MI:0407(direct interaction)
Q99471,Q9UPN7,PFDN5,PPP6R1,MI:0915(physical association)
A0A024QZW2,O95273,NOL7,CCNDBP1,MI:0915(physical association)
Q9H7X3,Q92997,ZNF696,DVL3,MI:0915(physical association)
Q9HCH0,Q567U6,NCKAP5L,CCDC93,MI:0915(physical association)
Q7Z419,O75604,RNF144B,USP2,MI:0407(direct interaction)
P13591,P12109,NCAM1,COL6A1,psi-mi:MI:0915(physical association)
A0A024R6N9,Q5T447,SERPINA5,HECTD3,MI:0915(physical association)
Q96NN9,Q8N653,AIFM3,LZTR1,MI:0915(physical association)
A0A024R6N9,P03951,SERPINA5,F11,MI:0407(direct interaction)
P55285,P55285,CDH6,CDH6,MI:0403(colocalization)
Q8WWB5,Q14764,PIH1D2,MVP,MI:0407(direct interaction)
Q9Y2T1,Q8TBB1,AXIN2,LNX1,MI:0915(physical association)
Q96Q45,P35606,TMEM237,COPB2,MI:0915(physical association)
O60271,Q96A65,SPAG9,EXOC4,MI:0403(colocalization)
A0A1X7SBR3,Q5TFE4,GFAP,NT5DC1,MI:0915(physical association)
O60318,O15198,MCM3AP,SMAD9,MI:0915(physical association)
Q14789,Q15165,GOLGB1,PON2,psi-mi:MI:0915(physical association)
Q86YC2,O95863,PALB2,SNAI1,MI:0407(direct interaction)
P23470,P23470,PTPRG,PTPRG,psi-mi:MI:0914(association)
A0A1U9X777,Q96KC8,ABHD16A,DNAJC1,MI:0915(physical association)
Q9NX00,Q66GS9,TMEM160,CEP135,MI:0915(physical association)
A6NHR9,P68431,SMCHD1,HIST1H3A,MI:0915(physical association)
P00533,Q9UKW4,EGFR,VAV3,-
O00411,E5KTM5,POLRMT,TFB1M,-
Q9UQ35,Q01082,SRRM2,SPTBN1,MI:0915(physical association)
O14983,A0A024R730,ATP2A1,CFTR,MI:0915(physical association)
A0A024R6I1,P22670,FOXN3,RFX1,MI:0915(physical association)
P17405,Q14790,SMPD1,CASP8,MI:0403(colocalization)
O15078,O15078,CEP290,CEP290,psi-mi:MI:0915(physical association)
Q969Z0,O15126,TBRG4,SCAMP1,MI:0915(physical association)
Q86Y91,P68431,KIF18B,HIST1H3A,MI:0915(physical association)
P42566,P42566,EPS15,EPS15,-
P42566,O75886,EPS15,STAM2,-
Q9UMS0,Q9H190,NFU1,SDCBP2,MI:0915(physical association)
Q6IBR2,Q9H9E3,FARSA,COG4,MI:0915(physical association)
Q969Z0,Q8TD16,TBRG4,BICD2,MI:0915(physical association)
Q6PG37,B4DFJ1,ZNF790,TINF2,MI:0407(direct interaction)
Q7Z6J8,O00762,UBE3D,UBE2C,psi-mi:MI:0914(association)
A0A024RCQ4,P51572,RNF5,BCAP31,MI:0915(physical association)
P54840,P54840,GYS2,GYS2,psi-mi:MI:0915(physical association)
P06401,Q05086,PGR,UBE3A,MI:0915(physical association)
P43308,P08240,SSR2,SRPRA,-
A0A024R2Q7,B4DN26,CLEC3B,PLAT,-
Q8IUC8,Q02505,GALNT13,MUC3A,psi-mi:MI:0915(physical association)
Q8IUC8,Q99102,GALNT13,MUC4,psi-mi:MI:0915(physical association)
O15056,Q9BZM1,SYNJ2,PLA2G12A,psi-mi:MI:0914(association)
A0A024R0K3,A0A0S2Z3P9,BCKDHA,ACADSB,psi-mi:MI:0914(association)
O00159,Q9Y4I1,MYO1C,MYO5A,psi-mi:MI:0914(association)
Q9HCE1,P46531,MOV10,NOTCH1,psi-mi:MI:0914(association)
P29460,P29460,IL12B,IL12B,MI:0914(association)
P53634,P53634,CTSC,CTSC,MI:0915(physical association)
O60318,Q9H0B3,MCM3AP,KIAA1683,MI:0915(physical association)
Q96AG3,Q13643,SLC25A46,FHL3,MI:0915(physical association)
Q86YC2,Q86YC2,PALB2,PALB2,MI:0915(physical association)
P40939,P56556,HADHA,NDUFA6,psi-mi:MI:0914(association)
P38398,O75445,BRCA1,USH2A,MI:0407(direct interaction)
P38398,Q96KN7,BRCA1,RPGRIP1,MI:0407(direct interaction)
P38398,A0A0S2Z4H1,BRCA1,PEX5,MI:0407(direct interaction)
A0A140VJS0,Q49AN0,PPP2CB,CRY2,MI:0915(physical association)
P38398,Q8WXE1,BRCA1,ATRIP,MI:0407(direct interaction)
P38398,Q6PJG6,BRCA1,BRAT1,MI:0914(association)
P38398,P42224,BRCA1,STAT1,MI:0915(physical association)
P38398,O43829,BRCA1,ZBTB14,MI:0915(physical association)
Q96RG2,A0A024R759,PASK,MET,MI:0217(phosphorylation reaction)
P38398,Q96AP0,BRCA1,ACD,psi-mi:MI:0914(association)
Q15555,P25791,MAPRE2,LMO2,-
Q15555,Q15555,MAPRE2,MAPRE2,-
Q8TB22,Q8IZH2,SPATA20,XRN1,MI:0915(physical association)
A0A024QZR5,A0A024R3T3,AP3M1,TMEM63A,MI:0915(physical association)
Q13227,Q13227,GPS2,GPS2,-
Q9H788,P14317,SH2D4A,HCLS1,MI:0915(physical association)
P49336,Q9P086,CDK8,MED11,psi-mi:MI:0915(physical association)
Q15561,Q08379,TEAD4,GOLGA2,MI:0407(direct interaction)
Q86VI4,Q96A65,LAPTM4B,EXOC4,MI:0915(physical association)
Q9BXK5,Q14802,BCL2L13,FXYD3,MI:0915(physical association)
Q9BSW2,P35638,CRACR2A,DDIT3,MI:0915(physical association)
A0A024R8F1,Q9H5Z6,CARD9,FAM124B,MI:0407(direct interaction)
Q6A162,O95980,KRT40,RECK,psi-mi:MI:0915(physical association)
A0A024R068,O00623,PEX10,PEX12,-
P51587,Q13535,BRCA2,ATR,MI:0407(direct interaction)
Q8WYA0,P08151,IFT81,GLI1,MI:0915(physical association)
Q7Z3Z0,O60437,KRT25,PPL,MI:0915(physical association)
Q7Z3Z0,P78385,KRT25,KRT83,MI:0915(physical association)
Q7Z3Z0,Q14CN4,KRT25,KRT72,MI:0915(physical association)
Q8TB22,Q14896,SPATA20,MYBPC3,MI:0915(physical association)
P51587,P51587,BRCA2,BRCA2,MI:0407(direct interaction)
P16471,A0A024R499,PRLR,IRS1,psi-mi:MI:0914(association)
Q92538,P35606,GBF1,COPB2,psi-mi:MI:0914(association)
Q86VI4,P46934,LAPTM4B,NEDD4,psi-mi:MI:0914(association)
P07585,P21333,DCN,FLNA,-
P20929,Q8WZ42,NEB,TTN,psi-mi:MI:0407(direct interaction)
Q6FII1,A0A0S2Z4A5,GSTK1,MCM7,psi-mi:MI:0915(physical association)
Q0VDD7,Q0VDD7,C19orf57,C19orf57,-
A0A024RB38,O95995,STAC3,GAS8,MI:0915(physical association)
P01023,A0A087WUF6,A2M,FGF2,psi-mi:MI:0915(physical association)
Q7Z6J9,Q8N7C3,TSEN54,TRIML2,MI:0915(physical association)
P04156,Q9H4B4,PRNP,PLK3,MI:0403(colocalization)
Q01780,Q14160,EXOSC10,SCRIB,-
P01023,P02649,A2M,APOE,MI:0915(physical association)
P01023,A0A024R7F9,A2M,GCDH,MI:0915(physical association)
Q01780,Q01780,EXOSC10,EXOSC10,-
Q8NBS9,Q8IWZ5,TXNDC5,TRIM42,psi-mi:MI:0915(physical association)
Q07912,Q07912,TNK2,TNK2,MI:0915(physical association)
P56192,P13805,MARS,TNNT1,MI:0915(physical association)
A0A024R7M7,P24394,JAK3,IL4R,-
Q9BRI3,Q9BRI3,SLC30A2,SLC30A2,MI:0403(colocalization)
Q86TI2,P49588,DPP9,AARS,MI:0403(colocalization)
P48995,Q14571,TRPC1,ITPR2,-
A0A024RC33,Q8TBB1,MAPRE2,LNX1,MI:0915(physical association)
Q16881,P27695,TXNRD1,APEX1,MI:0915(physical association)
Q96KM6,Q01082,ZNF512B,SPTBN1,MI:0407(direct interaction)
Q9BZR6,Q9BST9,RTN4R,RTKN,-
A7KAX9,Q5VST9,ARHGAP32,OBSCN,psi-mi:MI:0914(association)
P01023,A0A1R3UCE9,A2M,KLK13,psi-mi:MI:0914(association)
Q8WXD0,P48546,RXFP2,GIPR,psi-mi:MI:0914(association)
P01023,P03956,A2M,MMP1,psi-mi:MI:0915(physical association)
P30084,P23508,ECHS1,MCC,MI:0915(physical association)
P01023,P61586,A2M,RHOA,psi-mi:MI:0915(physical association)
P57789,P57789,KCNK10,KCNK10,psi-mi:MI:0915(physical association)
P49336,P10827,CDK8,THRA,MI:0915(physical association)
Q685J3,Q8IXK2,MUC17,GALNT12,psi-mi:MI:0915(physical association)
Q8WXD0,A0A0S2Z3H8,RXFP2,GNAS,psi-mi:MI:0915(physical association)
Q9NSP4,O00139,CENPM,KIF2A,psi-mi:MI:0915(physical association)
Q8WXD0,P16473,RXFP2,TSHR,psi-mi:MI:0914(association)
Q8WXD0,P22888,RXFP2,LHCGR,psi-mi:MI:0914(association)
P51587,Q9BXT5,BRCA2,TEX15,psi-mi:MI:0914(association)
Q9H1J7,Q9GZT5,WNT5B,WNT10A,psi-mi:MI:0915(physical association)
P11216,Q6PEY0,PYGB,GJB7,MI:0915(physical association)
A0A024R6P0,Q9Y6N6,SERPINA3,LAMC3,psi-mi:MI:0915(physical association)
P49336,B4DV00,CDK8,PRMT5,MI:0915(physical association)
Q9NNX1,P25791,TUFT1,LMO2,MI:0915(physical association)
Q9Y320,Q9Y5M8,TMX2,SRPRB,MI:0915(physical association)
Q9NSP4,Q9NTI5,CENPM,PDS5B,psi-mi:MI:0915(physical association)
P29144,A0A0S2Z5A6,TPP2,TAP1,psi-mi:MI:0914(association)
P38398,P40692,BRCA1,MLH1,-
P38398,O15360,BRCA1,FANCA,-
P38398,A0A024R8Y2,BRCA1,POU2F1,-
O75330,Q9ULW0,HMMR,TPX2,-
Q92832,P19174,NELL1,PLCG1,psi-mi:MI:0915(physical association)
O43314,O95487,PPIP5K2,SEC24B,MI:0915(physical association)
Q9NWM3,Q9Y5M8,CUEDC1,SRPRB,MI:0915(physical association)
Q9H201,Q13571,EPN3,LAPTM5,-
Q9UBN4,P20591,TRPC4,MX1,MI:0915(physical association)
P82650,Q9H061,MRPS22,TMEM126A,MI:0403(colocalization)
Q16526,O76081,CRY1,RGS20,MI:0915(physical association)
Q6HA08,A0A024R2F2,ASTL,VHL,MI:0915(physical association)
Q12834,Q9P031,CDC20,CCDC59,psi-mi:MI:0915(physical association)
P00734,P38435,F2,GGCX,psi-mi:MI:0915(physical association)
P12757,Q14789,SKIL,GOLGB1,MI:0915(physical association)
Q12834,P78386,CDC20,KRT85,psi-mi:MI:0915(physical association)
P12757,Q9Y6X2,SKIL,PIAS3,-
Q12834,P49454,CDC20,CENPF,psi-mi:MI:0915(physical association)
P11177,P23508,PDHB,MCC,psi-mi:MI:0915(physical association)
Q12834,Q9BW27,CDC20,NUP85,psi-mi:MI:0915(physical association)
Q12834,Q71F23,CDC20,CENPU,psi-mi:MI:0915(physical association)
Q9H257,O95995,CARD9,GAS8,MI:0915(physical association)
Q12834,A0A024R2S4,CDC20,CDC25A,psi-mi:MI:0914(association)
Q12834,Q12769,CDC20,NUP160,psi-mi:MI:0915(physical association)
Q9H788,Q86WV1,SH2D4A,SKAP1,MI:0915(physical association)
Q8TBF5,Q9H3S5,PIGX,PIGM,-
Q8WUM0,A0A024R8A6,NUP133,NEK6,psi-mi:MI:0915(physical association)
Q8WUM0,O75475,NUP133,PSIP1,psi-mi:MI:0915(physical association)
Q8WUM0,O43683,NUP133,BUB1,psi-mi:MI:0915(physical association)
Q12834,A0A140VJV4,CDC20,SPATC1,-
Q12891,Q04912,HYAL2,MST1R,psi-mi:MI:0914(association)
P05161,P06576,ISG15,ATP5B,psi-mi:MI:0915(physical association)
P05161,P08758,ISG15,ANXA5,psi-mi:MI:0915(physical association)
Q12891,Q13643,HYAL2,FHL3,psi-mi:MI:0915(physical association)
Q12834,Q9NS23,CDC20,RASSF1,MI:0915(physical association)
Q96KG7,A7KAX9,MEGF10,ARHGAP32,-
A8K5R1,Q15797,RAB30,SMAD1,-
D3DPA4,Q8TAI7,ACVR1,RHEBL1,-
Q9BY44,P40692,EIF2A,MLH1,psi-mi:MI:0915(physical association)
Q9BZR6,P20916,RTN4R,MAG,-
Q6A162,O95863,KRT40,SNAI1,psi-mi:MI:0915(physical association)
Q12834,Q9H211,CDC20,CDT1,MI:0407(direct interaction)
O15230,P50895,LAMA5,BCAM,MI:0407(direct interaction)
Q8NHS0,A0A0S2Z4A4,DNAJB8,MLF1,MI:0915(physical association)
Q9Y592,Q9Y592,CEP83,CEP83,MI:0915(physical association)
Q9H788,Q08379,SH2D4A,GOLGA2,MI:0915(physical association)
Q6NUQ1,Q14D33,RINT1,RTP5,MI:0915(physical association)
Q6NUQ1,Q3B820,RINT1,FAM161A,MI:0915(physical association)
Q6NUQ1,O15287,RINT1,FANCG,MI:0915(physical association)
A0A024R6P0,P04626,SERPINA3,ERBB2,-
P22455,A0A087WUF6,FGFR4,FGF2,-
Q9UBV8,Q9NXR5,PEF1,ANKRD10,MI:0915(physical association)
P51959,Q86Z20,CCNG1,CCDC125,MI:0915(physical association)
Q7Z7K6,P07948,CENPV,LYN,MI:0915(physical association)
Q12834,Q4G163,CDC20,FBXO43,MI:0915(physical association)
Q7Z5A8,P28331,FAM19A3,NDUFS1,MI:0915(physical association)
A0A024R429,Q8IUC1,CRYBA2,KRTAP11-1,MI:0915(physical association)
O00429,O00429,DNM1L,DNM1L,MI:0915(physical association)
Q9H788,Q9NZC7,SH2D4A,WWOX,MI:0915(physical association)
Q9H0U6,P46777,MRPL18,RPL5,MI:0915(physical association)
Q9H788,O75410,SH2D4A,TACC1,MI:0915(physical association)
Q06455,Q9BYV2,RUNX1T1,TRIM54,MI:0915(physical association)
Q06455,A0A140VJV5,RUNX1T1,SPERT,MI:0915(physical association)
Q5S007,O00429,LRRK2,DNM1L,MI:0403(colocalization)
Q8NB12,Q8IXP5,SMYD1,C11orf53,MI:0915(physical association)
P20929,P21399,NEB,ACO1,MI:0915(physical association)
Q9NVV5,A0A024R4X6,AIG1,BIK,MI:0915(physical association)
Q8IY92,Q9NXF1,SLX4,TEX10,MI:0915(physical association)
Q8N6L0,Q9NQ35,CCDC155,NRIP3,psi-mi:MI:0915(physical association)
Q9H4B7,O75161,TUBB1,NPHP4,MI:0915(physical association)
O60318,P84022,MCM3AP,SMAD3,-
P09238,P02649,MMP10,APOE,MI:0915(physical association)
P19174,P04629,PLCG1,NTRK1,-
Q9HD20,Q96Q45,ATP13A1,TMEM237,MI:0915(physical association)
Q7Z5A8,P28799,FAM19A3,GRN,MI:0915(physical association)
Q9UBV8,Q71SY5,PEF1,MED25,MI:0915(physical association)
Q14232,O14827,EIF2B1,RASGRF2,psi-mi:MI:0915(physical association)
A0A0S2Z5M8,O75593,ELAC2,FOXH1,MI:0915(physical association)
Q02742,O14498,GCNT1,ISLR,MI:0915(physical association)
P22695,A0A024QZB8,UQCRC2,CLN3,MI:0915(physical association)
Q9BZM4,Q9NRW4,ULBP3,DUSP22,MI:0915(physical association)
Q68D86,Q96HB5,CCDC102B,CCDC120,MI:0407(direct interaction)
P22695,Q9UI09,UQCRC2,NDUFA12,MI:0403(colocalization)
P22695,A0A0S2Z3L0,UQCRC2,ETFA,MI:0403(colocalization)
P22695,Q53GQ0,UQCRC2,HSD17B12,MI:0403(colocalization)
